ShieldingThickness[cm],Altitude[km],Inclination[deg],MaxCurrentIncident[A/cm^2]
0.02,4000,80,2.33E-12
0.02,300,10,1.06E-20
0.02,200,50,4.31E-16
0.02,9000,70,1.21E-12
0.02,20000,80,1.76E-12
0.02,600,90,7.43E-15
0.02,3000,30,3.54E-12
0.02,12500,20,1.85E-12
0.02,15000,10,2.71E-12
0.02,500,20,1.36E-17
0.02,400,60,3.62E-15
0.02,1900,20,1.41E-12
0.02,2000,70,6.68E-13
0.02,1800,60,4.95E-13
0.02,8000,30,2.73E-12
0.02,900,30,2.73E-14
0.02,800,70,1.95E-14
0.02,1500,30,4.06E-13
0.02,17500,0,3.82E-12
0.02,22500,80,1.67E-12
0.02,1400,70,1.54E-13
0.02,1000,0,4.11E-15
0.02,10000,20,1.86E-12
0.02,1600,80,2.61E-13
0.02,17500,10,3.92E-12
0.02,300,0,0
0.02,7000,40,2.64E-12
0.02,1200,40,1.09E-13
0.02,2000,20,1.74E-12
0.02,1900,70,5.60E-13
0.02,1400,0,2.55E-13
0.02,8000,60,1.66E-12
0.02,1800,30,9.17E-13
0.02,500,70,6.22E-15
0.02,15000,40,2.53E-12
0.02,12500,70,1.11E-12
0.02,400,30,1.21E-16
0.02,700,0,1.14E-17
0.02,5000,90,2.42E-12
0.02,700,80,1.16E-14
0.02,9000,20,2.63E-12
0.02,30000,50,1.10E-12
0.02,10000,0,2.29E-12
0.02,3000,60,1.85E-12
0.02,300,40,5.18E-16
0.02,1300,50,1.33E-13
0.02,1200,10,6.94E-14
0.02,7000,10,5.83E-12
0.02,1700,90,3.30E-13
0.02,17500,40,2.98E-12
0.02,10000,70,1.02E-12
0.02,1500,60,2.29E-13
0.02,6000,50,2.75E-12
0.02,1400,20,2.91E-13
0.02,900,60,2.71E-14
0.02,800,20,3.13E-15
0.02,1600,20,6.17E-13
0.02,10000,80,9.50E-13
0.02,1700,60,3.91E-13
0.02,1000,10,7.16E-15
0.02,1100,50,6.18E-14
0.02,900,90,2.29E-14
0.02,22500,20,4.74E-12
0.02,25000,10,4.84E-12
0.02,35800,0,1.64E-12
0.02,1500,90,1.89E-13
0.02,2500,50,1.51E-12
0.02,35800,40,5.23E-13
0.02,5000,60,2.88E-12
0.02,500,80,5.42E-15
0.02,12500,80,1.04E-12
0.02,8000,90,1.35E-12
0.02,1900,80,5.26E-13
0.02,4000,20,7.17E-12
0.02,3000,90,1.57E-12
0.02,600,30,2.65E-15
0.02,700,70,1.35E-14
0.02,20000,20,4.68E-12
0.02,27500,10,3.99E-12
0.02,25000,40,2.44E-12
0.02,22500,70,1.76E-12
0.02,1400,80,1.41E-13
0.02,3000,0,6.20E-12
0.02,800,80,1.66E-14
0.02,1000,40,4.63E-14
0.02,1600,70,2.80E-13
0.02,1700,30,7.19E-13
0.02,1800,0,1.29E-12
0.02,600,60,8.64E-15
0.02,27500,40,1.89E-12
0.02,9000,80,1.13E-12
0.02,700,20,6.88E-16
0.02,20000,70,1.86E-12
0.02,4000,70,2.47E-12
0.02,1800,90,4.18E-13
0.02,2000,80,6.26E-13
0.02,5000,30,5.31E-12
0.02,35800,10,1.49E-12
0.02,400,90,3.21E-15
0.02,22500,0,5.54E-12
0.02,1800,20,1.11E-12
0.02,8000,70,1.46E-12
0.02,1900,60,6.10E-13
0.02,2000,30,1.38E-12
0.02,5000,80,2.46E-12
0.02,400,20,1.78E-18
0.02,12500,60,1.27E-12
0.02,500,60,5.64E-15
0.02,15000,50,2.02E-12
0.02,3000,70,1.69E-12
0.02,30000,40,1.39E-12
0.02,9000,30,2.14E-12
0.02,700,90,1.08E-14
0.02,200,10,0
0.02,300,50,1.00E-15
0.02,1300,40,1.59E-13
0.02,10000,60,1.18E-12
0.02,17500,50,2.32E-12
0.02,1700,80,3.36E-13
0.02,1400,30,2.88E-13
0.02,6000,40,3.30E-12
0.02,1500,70,2.11E-13
0.02,800,30,1.43E-14
0.02,900,70,2.75E-14
0.02,200,40,9.22E-17
0.02,800,0,9.85E-17
0.02,4000,90,2.29E-12
0.02,3000,20,4.73E-12
0.02,600,80,8.01E-15
0.02,20000,90,1.72E-12
0.02,9000,60,1.39E-12
0.02,30000,10,3.13E-12
0.02,400,70,4.05E-15
0.02,500,30,7.19E-16
0.02,12500,30,2.01E-12
0.02,8000,20,3.52E-12
0.02,1800,70,4.56E-13
0.02,2000,60,7.30E-13
0.02,1900,30,1.14E-12
0.02,800,60,1.86E-14
0.02,900,20,1.02E-14
0.02,1400,60,1.65E-13
