,Altitude_km,Inclination_deg,0.01_mmAl,0.1_mmAl,0.2_mmAl,0.3_mmAl,0.4_mmAl,0.5_mmAl,0.6_mmAl,0.7_mmAl,0.8_mmAl,0.9_mmAl,1.0_mmAl,1.1_mmAl,1.2_mmAl,1.3_mmAl,1.4_mmAl,1.5_mmAl,1.6_mmAl,1.7_mmAl,1.8_mmAl,1.9_mmAl,2.0_mmAl,2.25_mmAl,2.5_mmAl,2.75_mmAl,3.0_mmAl,3.25_mmAl,3.5_mmAl,3.75_mmAl,4.0_mmAl,4.25_mmAl,4.5_mmAl,4.75_mmAl,5.0_mmAl,5.25_mmAl,5.5_mmAl,5.75_mmAl,6.0_mmAl,6.25_mmAl,6.5_mmAl,6.75_mmAl,7.0_mmAl,7.25_mmAl,7.5_mmAl,7.75_mmAl,8.0_mmAl,8.25_mmAl,8.5_mmAl,8.75_mmAl,9.0_mmAl,9.5_mmAl,10.0_mmAl,10.5_mmAl,11.0_mmAl,11.5_mmAl,12.0_mmAl,12.5_mmAl,13.0_mmAl,13.5_mmAl,14.0_mmAl,14.5_mmAl,15.0_mmAl,16.0_mmAl,17.0_mmAl,18.0_mmAl,19.0_mmAl,20.0_mmAl,30.0_mmAl,40.0_mmAl,50.0_mmAl,100.0_mmAl
0,700.0,90.0,29070000.0,5283000.0,2738000.0,1663000.0,1081000.0,738500.0,524200.0,384000.0,289200.0,223000.0,176300.0,142400.0,117200.0,98500.0,83840.0,72310.0,63100.0,55290.0,49030.0,43550.0,38790.0,29890.0,23400.0,18770.0,15380.0,12880.0,11030.0,9690.0,8703.0,7953.0,7343.0,6789.0,6448.0,6127.0,5871.0,5671.0,5350.0,5277.0,5091.0,4910.0,4802.0,4621.0,4528.0,4420.0,4324.0,4231.0,4143.0,4064.0,3973.0,3753.0,3643.0,3510.0,3396.0,3306.0,3122.0,3098.0,2995.0,2891.0,2834.0,2727.0,2679.0,2563.0,2468.0,2361.0,2241.0,2147.0,1513.0,1155.0,957.2,419.8
1,9000.0,20.0,12800000000.0,579100000.0,167800000.0,79120000.0,42130000.0,24510000.0,15580000.0,10700000.0,7785000.0,5947000.0,4696000.0,3820000.0,3190000.0,2702000.0,2320000.0,2032000.0,1793000.0,1591000.0,1428000.0,1284000.0,1160000.0,918400.0,733700.0,591800.0,481000.0,394100.0,326700.0,272900.0,229800.0,195600.0,168100.0,144500.0,125800.0,110700.0,96580.0,86100.0,76400.0,68090.0,62830.0,56660.0,51020.0,47810.0,44230.0,40780.0,38280.0,35930.0,33860.0,31970.0,30340.0,27060.0,24770.0,22300.0,20310.0,18900.0,17030.0,16200.0,15390.0,14160.0,13270.0,13010.0,12490.0,11110.0,10410.0,9752.0,9001.0,8320.0,4722.0,3142.0,2425.0,584.5
2,25000.0,50.0,534600000.0,72020000.0,41900000.0,28730000.0,20980000.0,16160000.0,12880000.0,10500000.0,8704000.0,7317000.0,6228000.0,5363000.0,4667000.0,4099000.0,3627000.0,3227000.0,2883000.0,2582000.0,2316000.0,2078000.0,1865000.0,1419000.0,1077000.0,814900.0,617000.0,468200.0,356800.0,273300.0,210400.0,162900.0,127000.0,99530.0,78720.0,62640.0,50290.0,40770.0,33360.0,27610.0,22920.0,19470.0,16620.0,14330.0,12570.0,11040.0,10040.0,9081.0,8194.0,7609.0,7030.0,6219.0,5638.0,5187.0,4780.0,4449.0,4206.0,3914.0,3751.0,3592.0,3377.0,3213.0,3102.0,2860.0,2632.0,2459.0,2309.0,2174.0,1439.0,1061.0,862.3,274.5
3,900.0,20.0,28660000.0,7265000.0,3521000.0,1934000.0,1113000.0,662700.0,410200.0,266500.0,183800.0,134900.0,106000.0,88330.0,76640.0,69370.0,63850.0,59830.0,56900.0,53940.0,52070.0,50080.0,48160.0,45290.0,42730.0,40900.0,39410.0,38090.0,36940.0,36040.0,35330.0,34690.0,33980.0,33030.0,32600.0,32020.0,31530.0,31150.0,30110.0,30100.0,29520.0,28910.0,28590.0,27880.0,27580.0,27190.0,26820.0,26470.0,26120.0,25810.0,25420.0,24420.0,23960.0,23350.0,22840.0,22440.0,21470.0,21430.0,20900.0,20350.0,20080.0,19480.0,19240.0,18600.0,18070.0,17440.0,16680.0,16080.0,11740.0,9153.0,7637.0,3440.0
4,1000.0,40.0,95810000.0,18290000.0,8789000.0,4828000.0,2793000.0,1681000.0,1049000.0,678800.0,458100.0,323300.0,241000.0,189400.0,155500.0,133900.0,118200.0,106900.0,98600.0,90990.0,85750.0,80650.0,75940.0,68160.0,61750.0,57160.0,53590.0,50670.0,48290.0,46520.0,45150.0,44000.0,42840.0,41410.0,40730.0,39870.0,39150.0,38590.0,37160.0,37120.0,36310.0,35460.0,35010.0,34050.0,33620.0,33070.0,32560.0,32060.0,31570.0,31130.0,30600.0,29220.0,28560.0,27720.0,27000.0,26430.0,25150.0,25040.0,24340.0,23610.0,23240.0,22480.0,22160.0,21350.0,20680.0,19890.0,18950.0,18200.0,12760.0,9675.0,7968.0,3440.0
5,2500.0,0.0,2032000000.0,576100000.0,288700000.0,161400000.0,95520000.0,59440000.0,38630000.0,26280000.0,18770000.0,14040000.0,11010000.0,9004000.0,7628000.0,6636000.0,5924000.0,5382000.0,4953000.0,4551000.0,4269000.0,3971000.0,3690000.0,3244000.0,2885000.0,2605000.0,2409000.0,2240000.0,2117000.0,2003000.0,1919000.0,1834000.0,1773000.0,1738000.0,1651000.0,1623000.0,1559000.0,1511000.0,1469000.0,1456000.0,1419000.0,1348000.0,1327000.0,1293000.0,1264000.0,1235000.0,1204000.0,1190000.0,1116000.0,1093000.0,1111000.0,1028000.0,995000.0,948500.0,917900.0,871500.0,833600.0,810900.0,777700.0,754500.0,756100.0,738900.0,693800.0,674800.0,654400.0,636300.0,613000.0,582400.0,432000.0,342500.0,293200.0,133200.0
6,1800.0,80.0,384800000.0,83410000.0,41880000.0,23830000.0,14290000.0,8959000.0,5861000.0,4006000.0,2863000.0,2131000.0,1660000.0,1343000.0,1117000.0,963700.0,843300.0,751800.0,681600.0,616600.0,569800.0,525100.0,484200.0,413700.0,357300.0,316500.0,285100.0,260300.0,240900.0,226400.0,215500.0,206700.0,198500.0,189500.0,184800.0,179400.0,174900.0,171400.0,163700.0,163000.0,158500.0,154000.0,151400.0,146400.0,144000.0,141000.0,138300.0,135600.0,133000.0,130700.0,127900.0,121000.0,117500.0,113300.0,109600.0,106700.0,100900.0,100100.0,96960.0,93780.0,92130.0,88970.0,87650.0,84400.0,81800.0,78830.0,75330.0,72600.0,52300.0,40440.0,33920.0,15180.0
7,1600.0,30.0,462300000.0,107800000.0,53270000.0,29640000.0,17330000.0,10570000.0,6691000.0,4418000.0,3057000.0,2221000.0,1698000.0,1362000.0,1138000.0,982300.0,872700.0,791300.0,728200.0,671500.0,630900.0,590000.0,552100.0,490500.0,441800.0,404100.0,377600.0,355100.0,338800.0,323700.0,312500.0,301100.0,293000.0,288600.0,276400.0,272800.0,263800.0,257100.0,251200.0,249600.0,244600.0,234200.0,231300.0,226600.0,222500.0,218600.0,214000.0,212400.0,201200.0,197900.0,201200.0,188700.0,184300.0,177400.0,173200.0,165900.0,160000.0,156500.0,151100.0,147100.0,147900.0,145000.0,136500.0,133200.0,129300.0,125800.0,121000.0,114800.0,83250.0,64580.0,54200.0,24430.0
8,4000.0,10.0,5946000000.0,1227000000.0,594000000.0,330700000.0,195500000.0,121700000.0,79370000.0,54330000.0,38930000.0,28980000.0,22380000.0,17840000.0,14610000.0,12210000.0,10460000.0,9134000.0,8094000.0,7161000.0,6510000.0,5870000.0,5294000.0,4412000.0,3750000.0,3264000.0,2931000.0,2658000.0,2462000.0,2287000.0,2159000.0,2033000.0,1943000.0,1889000.0,1767000.0,1724000.0,1634000.0,1568000.0,1508000.0,1486000.0,1434000.0,1341000.0,1310000.0,1265000.0,1224000.0,1186000.0,1144000.0,1123000.0,1033000.0,1003000.0,1020000.0,919100.0,876900.0,820700.0,782500.0,729700.0,686900.0,660900.0,625300.0,600600.0,599500.0,581200.0,538000.0,518500.0,498100.0,480400.0,458300.0,430400.0,289800.0,212800.0,173800.0,65010.0
9,200.0,60.0,7789000.0,1175000.0,641900.0,409300.0,276100.0,195400.0,143500.0,108800.0,84720.0,67630.0,55150.0,45850.0,38750.0,33220.0,28800.0,25210.0,22220.0,19700.0,17540.0,15660.0,14010.0,10630.0,8056.0,6063.0,4531.0,3362.0,2489.0,1847.0,1376.0,1036.0,794.6,618.4,494.7,402.9,336.0,287.9,251.7,225.4,200.9,187.3,173.7,162.6,154.9,144.7,142.9,137.0,128.9,126.0,120.6,114.0,108.5,103.7,98.37,93.23,90.19,84.73,82.5,80.75,76.33,73.1,71.67,67.47,62.97,59.81,56.78,53.85,34.22,24.09,19.09,4.996
