,Altitude_km,Inclination_deg,0.01_mmAl,0.1_mmAl,0.2_mmAl,0.3_mmAl,0.4_mmAl,0.5_mmAl,0.6_mmAl,0.7_mmAl,0.8_mmAl,0.9_mmAl,1.0_mmAl,1.1_mmAl,1.2_mmAl,1.3_mmAl,1.4_mmAl,1.5_mmAl,1.6_mmAl,1.7_mmAl,1.8_mmAl,1.9_mmAl,2.0_mmAl,2.25_mmAl,2.5_mmAl,2.75_mmAl,3.0_mmAl,3.25_mmAl,3.5_mmAl,3.75_mmAl,4.0_mmAl,4.25_mmAl,4.5_mmAl,4.75_mmAl,5.0_mmAl,5.25_mmAl,5.5_mmAl,5.75_mmAl,6.0_mmAl,6.25_mmAl,6.5_mmAl,6.75_mmAl,7.0_mmAl,7.25_mmAl,7.5_mmAl,7.75_mmAl,8.0_mmAl,8.25_mmAl,8.5_mmAl,8.75_mmAl,9.0_mmAl,9.5_mmAl,10.0_mmAl,10.5_mmAl,11.0_mmAl,11.5_mmAl,12.0_mmAl,12.5_mmAl,13.0_mmAl,13.5_mmAl,14.0_mmAl,14.5_mmAl,15.0_mmAl,16.0_mmAl,17.0_mmAl,18.0_mmAl,19.0_mmAl,20.0_mmAl,30.0_mmAl,40.0_mmAl,50.0_mmAl,100.0_mmAl
0,700.0,90.0,9511000.0,1749000.0,863600.0,506800.0,322800.0,218300.0,154700.0,113800.0,86640.0,68070.0,54730.0,45050.0,37990.0,32520.0,28080.0,24730.0,21980.0,19590.0,17710.0,15970.0,14500.0,11720.0,9709.0,8237.0,7077.0,6260.0,5665.0,5145.0,4743.0,4438.0,4197.0,3925.0,3760.0,3593.0,3398.0,3298.0,3121.0,3018.0,2982.0,2836.0,2697.0,2690.0,2604.0,2485.0,2433.0,2368.0,2311.0,2253.0,2206.0,2076.0,1999.0,1912.0,1808.0,1757.0,1656.0,1608.0,1588.0,1506.0,1438.0,1436.0,1404.0,1299.0,1251.0,1202.0,1140.0,1081.0,761.2,581.5,484.2,209.0
1,9000.0,20.0,6845000000.0,316700000.0,78310000.0,32270000.0,15640000.0,8557000.0,5247000.0,3553000.0,2595000.0,2013000.0,1622000.0,1349000.0,1153000.0,996900.0,871200.0,776000.0,693600.0,622200.0,564000.0,510500.0,464100.0,371800.0,298900.0,242000.0,197200.0,162000.0,135000.0,113500.0,96380.0,83100.0,72520.0,63290.0,56220.0,50560.0,44930.0,40940.0,37040.0,33610.0,31650.0,28960.0,26400.0,25080.0,23430.0,21780.0,20590.0,19440.0,18410.0,17450.0,16620.0,14900.0,13700.0,12360.0,11270.0,10510.0,9449.0,9003.0,8548.0,7844.0,7326.0,7193.0,6891.0,6076.0,5672.0,5286.0,4840.0,4438.0,2327.0,1460.0,1083.0,242.3
2,25000.0,50.0,409400000.0,62580000.0,36760000.0,25300000.0,18550000.0,14320000.0,11390000.0,9254000.0,7621000.0,6349000.0,5347000.0,4551000.0,3914000.0,3397000.0,2971000.0,2614000.0,2309000.0,2046000.0,1816000.0,1613000.0,1432000.0,1064000.0,788100.0,583900.0,434200.0,324800.0,245200.0,187000.0,144000.0,112100.0,88170.0,69990.0,56240.0,45520.0,37220.0,30760.0,25650.0,21640.0,18250.0,15780.0,13670.0,11940.0,10600.0,9381.0,8625.0,7849.0,7105.0,6630.0,6137.0,5450.0,4952.0,4561.0,4201.0,3909.0,3699.0,3435.0,3299.0,3163.0,2970.0,2827.0,2734.0,2526.0,2326.0,2177.0,2045.0,1926.0,1252.0,910.4,731.8,227.4
3,400.0,10.0,14540.0,3511.0,1469.0,731.0,398.7,233.6,148.8,103.5,78.06,63.08,53.67,47.32,42.73,39.21,36.34,34.3,32.58,30.86,29.57,28.56,27.68,25.68,24.45,23.45,22.56,21.88,21.43,20.79,20.26,19.91,19.44,19.16,18.69,18.46,18.03,17.68,17.41,17.16,16.86,16.69,16.29,15.98,15.73,15.69,15.47,14.94,14.83,14.62,14.44,14.06,13.77,13.26,12.85,12.82,12.44,11.86,11.82,11.63,11.47,11.17,10.8,10.53,10.28,10.02,9.482,9.146,7.022,5.331,4.97,0.8169
4,900.0,20.0,13840000.0,3402000.0,1545000.0,808200.0,451700.0,265400.0,164200.0,107900.0,75870.0,56870.0,45660.0,38710.0,33960.0,31020.0,28680.0,26950.0,25690.0,24340.0,23550.0,22650.0,21760.0,20530.0,19380.0,18570.0,17890.0,17270.0,16720.0,16290.0,15950.0,15640.0,15290.0,14840.0,14640.0,14360.0,14130.0,13950.0,13460.0,13450.0,13170.0,12880.0,12730.0,12390.0,12250.0,12050.0,11880.0,11700.0,11530.0,11380.0,11190.0,10700.0,10470.0,10180.0,9924.0,9724.0,9282.0,9242.0,9003.0,8756.0,8632.0,8376.0,8273.0,8008.0,7795.0,7546.0,7251.0,7021.0,5359.0,4306.0,3686.0,1758.0
5,1000.0,40.0,40930000.0,8220000.0,3712000.0,1943000.0,1079000.0,625800.0,380100.0,243600.0,165900.0,120000.0,92640.0,75590.0,64000.0,56670.0,50970.0,46760.0,43670.0,40570.0,38610.0,36550.0,34600.0,31670.0,29140.0,27360.0,25930.0,24700.0,23660.0,22860.0,22220.0,21670.0,21100.0,20360.0,20020.0,19570.0,19200.0,18900.0,18150.0,18120.0,17690.0,17240.0,16990.0,16480.0,16250.0,15950.0,15670.0,15400.0,15130.0,14890.0,14600.0,13870.0,13500.0,13050.0,12650.0,12340.0,11700.0,11620.0,11270.0,10910.0,10720.0,10360.0,10210.0,9832.0,9529.0,9180.0,8769.0,8448.0,6095.0,4709.0,3939.0,1750.0
6,2500.0,0.0,939200000.0,253300000.0,124100000.0,69560000.0,41340000.0,25790000.0,16920000.0,11770000.0,8712000.0,6794000.0,5551000.0,4703000.0,4092000.0,3626000.0,3279000.0,3007000.0,2787000.0,2573000.0,2428000.0,2269000.0,2117000.0,1890000.0,1704000.0,1558000.0,1455000.0,1364000.0,1296000.0,1231000.0,1183000.0,1132000.0,1096000.0,1075000.0,1021000.0,1004000.0,964600.0,935100.0,909100.0,900900.0,878300.0,834600.0,821400.0,801000.0,782900.0,765700.0,746400.0,738100.0,693200.0,679300.0,690500.0,640100.0,620800.0,592900.0,574700.0,546800.0,524000.0,510500.0,490500.0,476400.0,477900.0,467600.0,439700.0,428400.0,416000.0,405200.0,390700.0,371600.0,275200.0,215100.0,180400.0,76670.0
7,1800.0,80.0,161900000.0,36280000.0,17340000.0,9595000.0,5669000.0,3527000.0,2313000.0,1604000.0,1175000.0,900300.0,724300.0,604000.0,514500.0,453400.0,402700.0,363500.0,333300.0,303500.0,283400.0,263000.0,244100.0,213800.0,188900.0,171200.0,157500.0,146300.0,137200.0,130300.0,125000.0,120500.0,116100.0,111000.0,108400.0,105300.0,102700.0,100600.0,95990.0,95550.0,92860.0,90090.0,88510.0,85470.0,84010.0,82190.0,80520.0,78880.0,77290.0,75870.0,74170.0,70020.0,67890.0,65330.0,63120.0,61370.0,57940.0,57440.0,55580.0,53710.0,52740.0,50910.0,50140.0,48270.0,46790.0,45110.0,43150.0,41620.0,30320.0,23490.0,19630.0,8477.0
8,1600.0,30.0,202800000.0,48180000.0,22620000.0,12220000.0,7014000.0,4221000.0,2672000.0,1791000.0,1278000.0,960900.0,768200.0,642600.0,551600.0,493500.0,444800.0,407900.0,380500.0,351400.0,333600.0,314200.0,295500.0,268500.0,244700.0,228000.0,214500.0,202900.0,193100.0,185600.0,179700.0,174500.0,169100.0,162500.0,159300.0,155300.0,151900.0,149200.0,142700.0,142200.0,138500.0,134600.0,132400.0,128100.0,126100.0,123500.0,121100.0,118800.0,116500.0,114500.0,112000.0,106000.0,102900.0,99180.0,95970.0,93420.0,88350.0,87650.0,84910.0,82130.0,80710.0,77980.0,76850.0,74050.0,71850.0,69330.0,66370.0,64070.0,46990.0,36600.0,30690.0,13430.0
9,4000.0,10.0,2380000000.0,580900000.0,274900000.0,149600000.0,86270000.0,52230000.0,33570000.0,23090000.0,16890000.0,12830000.0,10270000.0,8450000.0,6999000.0,6045000.0,5190000.0,4538000.0,4050000.0,3552000.0,3246000.0,2932000.0,2645000.0,2233000.0,1902000.0,1680000.0,1512000.0,1376000.0,1268000.0,1188000.0,1126000.0,1074000.0,1023000.0,965000.0,935000.0,899400.0,869300.0,845100.0,794100.0,787400.0,757100.0,726500.0,708100.0,675200.0,658300.0,638000.0,619400.0,601200.0,583600.0,567800.0,549500.0,507000.0,483800.0,457500.0,434900.0,416900.0,386100.0,379600.0,363100.0,346900.0,338300.0,323600.0,317200.0,302400.0,291100.0,278800.0,264700.0,253900.0,172700.0,126700.0,101700.0,34310.0
