,Altitude_km,Inclination_deg,0.01_mmAl,0.1_mmAl,0.2_mmAl,0.3_mmAl,0.4_mmAl,0.5_mmAl,0.6_mmAl,0.7_mmAl,0.8_mmAl,0.9_mmAl,1.0_mmAl,1.1_mmAl,1.2_mmAl,1.3_mmAl,1.4_mmAl,1.5_mmAl,1.6_mmAl,1.7_mmAl,1.8_mmAl,1.9_mmAl,2.0_mmAl,2.25_mmAl,2.5_mmAl,2.75_mmAl,3.0_mmAl,3.25_mmAl,3.5_mmAl,3.75_mmAl,4.0_mmAl,4.25_mmAl,4.5_mmAl,4.75_mmAl,5.0_mmAl,5.25_mmAl,5.5_mmAl,5.75_mmAl,6.0_mmAl,6.25_mmAl,6.5_mmAl,6.75_mmAl,7.0_mmAl,7.25_mmAl,7.5_mmAl,7.75_mmAl,8.0_mmAl,8.25_mmAl,8.5_mmAl,8.75_mmAl,9.0_mmAl,9.5_mmAl,10.0_mmAl,10.5_mmAl,11.0_mmAl,11.5_mmAl,12.0_mmAl,12.5_mmAl,13.0_mmAl,13.5_mmAl,14.0_mmAl,14.5_mmAl,15.0_mmAl,16.0_mmAl,17.0_mmAl,18.0_mmAl,19.0_mmAl,20.0_mmAl,30.0_mmAl,40.0_mmAl,50.0_mmAl,100.0_mmAl
0,700.0,90.0,38440000.0,6866000.0,3603000.0,2209000.0,1442000.0,986900.0,701200.0,514500.0,388400.0,300800.0,238800.0,193900.0,160300.0,135100.0,115400.0,99780.0,87230.0,76610.0,67980.0,60460.0,53910.0,41440.0,32240.0,25530.0,20550.0,16840.0,14100.0,12100.0,10650.0,9570.0,8724.0,7995.0,7538.0,7130.0,6812.0,6568.0,6199.0,6108.0,5897.0,5693.0,5571.0,5368.0,5265.0,5144.0,5036.0,4932.0,4833.0,4745.0,4642.0,4393.0,4267.0,4114.0,3984.0,3880.0,3668.0,3640.0,3521.0,3402.0,3336.0,3214.0,3159.0,3026.0,2917.0,2796.0,2659.0,2552.0,1828.0,1413.0,1187.0,556.5
1,9000.0,20.0,14610000000.0,682900000.0,208600000.0,99700000.0,53450000.0,31180000.0,19760000.0,13450000.0,9661000.0,7274000.0,5670000.0,4566000.0,3792000.0,3204000.0,2751000.0,2416000.0,2137000.0,1901000.0,1710000.0,1537000.0,1389000.0,1094000.0,865300.0,689400.0,553400.0,448400.0,368500.0,305700.0,256200.0,217500.0,186400.0,160000.0,139200.0,122400.0,106700.0,95040.0,84330.0,75180.0,69250.0,62520.0,56420.0,52850.0,48980.0,45290.0,42600.0,40100.0,37910.0,35910.0,34200.0,30780.0,28400.0,25820.0,23730.0,22260.0,20260.0,19390.0,18520.0,17180.0,16180.0,15910.0,15330.0,13740.0,12940.0,12170.0,11270.0,10450.0,5988.0,3924.0,2946.0,664.7
2,25000.0,50.0,655100000.0,82730000.0,47970000.0,32700000.0,23690000.0,18140000.0,14400000.0,11720000.0,9716000.0,8182000.0,6981000.0,6027000.0,5258000.0,4629000.0,4102000.0,3654000.0,3266000.0,2926000.0,2624000.0,2353000.0,2110000.0,1602000.0,1212000.0,914600.0,690900.0,523400.0,398500.0,305100.0,234700.0,181600.0,141400.0,110700.0,87330.0,69310.0,55470.0,44810.0,36540.0,30140.0,24960.0,21140.0,18010.0,15510.0,13580.0,11910.0,10820.0,9775.0,8825.0,8190.0,7570.0,6696.0,6068.0,5580.0,5141.0,4786.0,4525.0,4217.0,4041.0,3870.0,3644.0,3470.0,3349.0,3090.0,2847.0,2661.0,2499.0,2355.0,1572.0,1164.0,950.3,303.2
3,400.0,10.0,62950.0,17350.0,6480.0,2919.0,1492.0,837.4,514.4,345.4,251.8,198.1,164.6,143.0,129.4,118.6,109.9,104.8,99.85,95.09,92.22,88.6,85.73,81.57,77.78,75.03,72.81,70.81,69.66,68.22,66.74,65.78,65.0,63.4,62.64,62.27,60.56,60.16,59.0,57.74,58.15,56.9,55.35,55.43,54.7,53.64,53.17,52.56,52.0,51.42,50.97,49.59,48.89,47.56,46.47,45.9,44.25,44.04,43.69,42.33,41.33,41.61,41.19,39.09,38.35,37.49,36.16,34.85,27.7,22.86,20.02,10.3
4,900.0,20.0,36440000.0,10300000.0,4796000.0,2559000.0,1464000.0,879500.0,552100.0,362300.0,249800.0,181400.0,140000.0,114100.0,96970.0,86170.0,78150.0,72350.0,68150.0,64140.0,61540.0,58930.0,56490.0,52810.0,49750.0,47650.0,46000.0,44610.0,43400.0,42490.0,41770.0,41130.0,40400.0,39390.0,38970.0,38350.0,37840.0,37450.0,36270.0,36300.0,35650.0,34960.0,34610.0,33790.0,33450.0,32990.0,32570.0,32150.0,31740.0,31370.0,30910.0,29690.0,29130.0,28390.0,27750.0,27260.0,26060.0,25990.0,25330.0,24650.0,24300.0,23560.0,23250.0,22450.0,21790.0,21000.0,20050.0,19310.0,13870.0,10660.0,8878.0,4187.0
5,1000.0,40.0,118100000.0,23780000.0,11610000.0,6462000.0,3780000.0,2294000.0,1437000.0,928900.0,622700.0,434600.0,319100.0,246700.0,199400.0,169200.0,147500.0,132000.0,120700.0,110600.0,103500.0,96770.0,90690.0,80560.0,72550.0,66940.0,62710.0,59360.0,56690.0,54720.0,53220.0,51980.0,50720.0,49140.0,48420.0,47490.0,46700.0,46100.0,44470.0,44450.0,43530.0,42560.0,42050.0,40920.0,40430.0,39780.0,39180.0,38590.0,38010.0,37490.0,36840.0,35160.0,34370.0,33330.0,32440.0,31730.0,30160.0,30020.0,29150.0,28260.0,27790.0,26860.0,26470.0,25470.0,24650.0,23680.0,22540.0,21640.0,15030.0,11330.0,9382.0,4278.0
6,2500.0,0.0,2359000000.0,695100000.0,371600000.0,221800000.0,138500000.0,89400000.0,59190000.0,40250000.0,28200000.0,20430000.0,15410000.0,12130000.0,9946000.0,8435000.0,7384000.0,6612000.0,6020000.0,5490000.0,5114000.0,4733000.0,4381000.0,3812000.0,3364000.0,3020000.0,2780000.0,2576000.0,2428000.0,2291000.0,2189000.0,2086000.0,2012000.0,1969000.0,1864000.0,1829000.0,1751000.0,1693000.0,1643000.0,1625000.0,1581000.0,1497000.0,1471000.0,1432000.0,1397000.0,1363000.0,1327000.0,1310000.0,1227000.0,1201000.0,1220000.0,1127000.0,1090000.0,1039000.0,1006000.0,955700.0,915000.0,891000.0,855900.0,831500.0,833500.0,815700.0,768500.0,749500.0,728800.0,710800.0,686900.0,655200.0,493500.0,390100.0,331100.0,153700.0
7,1800.0,80.0,476800000.0,105700000.0,54700000.0,32040000.0,19690000.0,12580000.0,8311000.0,5688000.0,4039000.0,2976000.0,2279000.0,1811000.0,1489000.0,1260000.0,1093000.0,967900.0,869800.0,785600.0,720700.0,660300.0,606000.0,508500.0,433500.0,376300.0,334900.0,302100.0,278300.0,258600.0,244200.0,231300.0,222100.0,216500.0,205800.0,201900.0,194300.0,188600.0,183800.0,182200.0,178100.0,170200.0,167900.0,164300.0,161100.0,158200.0,154800.0,153400.0,145200.0,142800.0,145100.0,135900.0,132600.0,127500.0,124400.0,119100.0,114800.0,112200.0,108200.0,105300.0,105900.0,103700.0,97650.0,95170.0,92340.0,89810.0,86400.0,81900.0,59130.0,45670.0,38440.0,17830.0
8,1600.0,30.0,556300000.0,135300000.0,68630000.0,39350000.0,23740000.0,14870000.0,9595000.0,6375000.0,4378000.0,3120000.0,2323000.0,1811000.0,1475000.0,1247000.0,1089000.0,974200.0,886900.0,810900.0,755600.0,701800.0,652500.0,570800.0,507800.0,460200.0,427200.0,399900.0,380500.0,362800.0,349900.0,336900.0,327700.0,322700.0,309100.0,305200.0,295200.0,287900.0,281500.0,279800.0,274300.0,262900.0,259800.0,254700.0,250200.0,246000.0,241100.0,239300.0,227000.0,223500.0,227200.0,213600.0,208800.0,201200.0,196600.0,188600.0,182100.0,178200.0,172100.0,167700.0,168600.0,165400.0,155800.0,151900.0,147500.0,143500.0,138000.0,130900.0,94550.0,73110.0,61550.0,28720.0
9,4000.0,10.0,7144000000.0,1524000000.0,802800000.0,464600000.0,274700000.0,167100000.0,105400000.0,69620000.0,48490000.0,35500000.0,27280000.0,21850000.0,18080000.0,15300000.0,13270000.0,11710000.0,10470000.0,9315000.0,8504000.0,7670000.0,6908000.0,5708000.0,4786000.0,4102000.0,3634000.0,3252000.0,2980000.0,2742000.0,2567000.0,2401000.0,2282000.0,2209000.0,2056000.0,2001000.0,1889000.0,1807000.0,1734000.0,1706000.0,1643000.0,1532000.0,1493000.0,1439000.0,1390000.0,1345000.0,1295000.0,1269000.0,1165000.0,1130000.0,1148000.0,1030000.0,980600.0,915600.0,870800.0,810800.0,762200.0,732800.0,693000.0,665800.0,663900.0,643800.0,597600.0,576800.0,555500.0,537200.0,514600.0,486100.0,343800.0,260300.0,211900.0,77680.0
10,200.0,60.0,11960000.0,1778000.0,969700.0,617000.0,415000.0,293300.0,215700.0,164300.0,129100.0,104200.0,86030.0,72390.0,61870.0,53570.0,46850.0,41290.0,36620.0,32620.0,29160.0,26130.0,23430.0,17870.0,13550.0,10160.0,7536.0,5527.0,4026.0,2926.0,2128.0,1560.0,1161.0,875.9,678.0,535.4,433.4,361.3,308.5,270.7,238.1,219.0,201.6,187.7,178.0,166.1,163.3,156.5,147.6,144.1,138.2,130.7,124.4,119.0,113.2,107.5,104.0,98.16,95.54,93.54,88.78,85.21,83.56,78.86,73.9,70.33,66.91,63.63,41.34,29.51,23.66,6.259
