,Altitude_km,Inclination_deg,0.01_mmAl,0.1_mmAl,0.2_mmAl,0.3_mmAl,0.4_mmAl,0.5_mmAl,0.6_mmAl,0.7_mmAl,0.8_mmAl,0.9_mmAl,1.0_mmAl,1.1_mmAl,1.2_mmAl,1.3_mmAl,1.4_mmAl,1.5_mmAl,1.6_mmAl,1.7_mmAl,1.8_mmAl,1.9_mmAl,2.0_mmAl,2.25_mmAl,2.5_mmAl,2.75_mmAl,3.0_mmAl,3.25_mmAl,3.5_mmAl,3.75_mmAl,4.0_mmAl,4.25_mmAl,4.5_mmAl,4.75_mmAl,5.0_mmAl,5.25_mmAl,5.5_mmAl,5.75_mmAl,6.0_mmAl,6.25_mmAl,6.5_mmAl,6.75_mmAl,7.0_mmAl,7.25_mmAl,7.5_mmAl,7.75_mmAl,8.0_mmAl,8.25_mmAl,8.5_mmAl,8.75_mmAl,9.0_mmAl,9.5_mmAl,10.0_mmAl,10.5_mmAl,11.0_mmAl,11.5_mmAl,12.0_mmAl,12.5_mmAl,13.0_mmAl,13.5_mmAl,14.0_mmAl,14.5_mmAl,15.0_mmAl,16.0_mmAl,17.0_mmAl,18.0_mmAl,19.0_mmAl,20.0_mmAl,30.0_mmAl,40.0_mmAl,50.0_mmAl,100.0_mmAl
0,700.0,90.0,5515000.0,1345000.0,585300.0,320200.0,204200.0,144500.0,109600.0,87450.0,72200.0,61280.0,52910.0,46600.0,41330.0,37120.0,33530.0,30500.0,27900.0,25510.0,23510.0,21710.0,20050.0,16610.0,13920.0,11790.0,10160.0,8760.0,7661.0,6766.0,5970.0,5328.0,4816.0,4343.0,3998.0,3660.0,3391.0,3177.0,2994.0,2852.0,2655.0,2589.0,2475.0,2366.0,2304.0,2190.0,2199.0,2134.0,2025.0,2002.0,1933.0,1860.0,1804.0,1752.0,1681.0,1621.0,1588.0,1507.0,1492.0,1470.0,1403.0,1360.0,1346.0,1289.0,1221.0,1179.0,1136.0,1094.0,793.1,615.7,506.5,192.2
1,9000.0,20.0,15680000000.0,793300000.0,255100000.0,117900000.0,63800000.0,37570000.0,23540000.0,15430000.0,10470000.0,7361000.0,5357000.0,4042000.0,3162000.0,2558000.0,2126000.0,1820000.0,1583000.0,1387000.0,1234000.0,1107000.0,998900.0,777100.0,617400.0,490500.0,390100.0,311600.0,251100.0,201400.0,162900.0,133300.0,109100.0,90480.0,74990.0,63230.0,53210.0,45300.0,38980.0,33880.0,29540.0,26190.0,22980.0,20470.0,18350.0,16870.0,15330.0,13660.0,12660.0,11670.0,10840.0,9436.0,8400.0,7461.0,6782.0,6393.0,5924.0,5465.0,5245.0,4998.0,4781.0,4550.0,4325.0,4023.0,3760.0,3520.0,3262.0,3065.0,1908.0,1309.0,999.1,231.7
2,25000.0,50.0,427200000.0,128900000.0,75000000.0,50620000.0,36530000.0,27450000.0,21270000.0,16910000.0,13750000.0,11390000.0,9573000.0,8141000.0,6986000.0,6042000.0,5255000.0,4591000.0,4028000.0,3546000.0,3130000.0,2771000.0,2457000.0,1835000.0,1382000.0,1047000.0,798400.0,611400.0,470500.0,363600.0,282100.0,219800.0,172000.0,135000.0,106600.0,84360.0,67120.0,53690.0,43170.0,34940.0,28300.0,23330.0,19310.0,16150.0,13740.0,11740.0,10420.0,9251.0,8231.0,7573.0,6964.0,6180.0,5687.0,5346.0,5042.0,4801.0,4634.0,4403.0,4290.0,4171.0,3990.0,3854.0,3767.0,3560.0,3353.0,3192.0,3040.0,2899.0,1981.0,1477.0,1208.0,377.8
3,400.0,10.0,4.059,3.144,2.472,1.95,1.552,1.257,1.038,0.8737,0.7499,0.6547,0.5801,0.5204,0.4718,0.4317,0.398,0.3692,0.3445,0.3229,0.304,0.2872,0.2722,0.2404,0.2145,0.1925,0.1731,0.1552,0.1382,0.1221,0.1068,0.09235,0.07876,0.06607,0.05444,0.04401,0.03492,0.02716,0.02069,0.01539,0.01116,0.007861,0.005375,0.003571,0.002318,0.001488,0.0009673,0.0006575,0.0004848,0.000395,0.0003503,0.000316,0.0002998,0.000287,0.0002751,0.0002642,0.0002554,0.0002478,0.0002413,0.0002357,0.0002308,0.0002265,0.0002225,0.0002151,0.0002084,0.0002018,0.0001951,0.0001889,0.0001512,0.000127,0.0001124,4.378e-05
4,900.0,20.0,3297000.0,1506000.0,623900.0,278700.0,141200.0,81790.0,53070.0,37830.0,29020.0,23590.0,19980.0,17570.0,15770.0,14470.0,13440.0,12640.0,12010.0,11420.0,10980.0,10600.0,10240.0,9532.0,8991.0,8552.0,8251.0,7937.0,7696.0,7497.0,7269.0,7085.0,6947.0,6774.0,6678.0,6535.0,6424.0,6343.0,6265.0,6214.0,6061.0,6067.0,5992.0,5903.0,5875.0,5751.0,5817.0,5757.0,5615.0,5610.0,5521.0,5442.0,5387.0,5329.0,5225.0,5136.0,5097.0,4948.0,4940.0,4918.0,4784.0,4701.0,4686.0,4584.0,4441.0,4357.0,4269.0,4174.0,3419.0,2873.0,2489.0,1063.0
5,1000.0,40.0,24320000.0,7731000.0,2951000.0,1306000.0,664200.0,381700.0,242200.0,166700.0,122500.0,95020.0,76810.0,64550.0,55510.0,48900.0,43760.0,39710.0,36450.0,33560.0,31280.0,29290.0,27490.0,23950.0,21340.0,19330.0,17880.0,16560.0,15510.0,14620.0,13740.0,13000.0,12420.0,11830.0,11440.0,11010.0,10680.0,10450.0,10250.0,10110.0,9801.0,9792.0,9636.0,9460.0,9395.0,9155.0,9263.0,9141.0,8869.0,8847.0,8674.0,8509.0,8388.0,8265.0,8068.0,7900.0,7821.0,7555.0,7533.0,7487.0,7252.0,7106.0,7074.0,6888.0,6636.0,6483.0,6323.0,6155.0,4794.0,3866.0,3264.0,1301.0
6,2500.0,0.0,1437000000.0,596300000.0,246500000.0,114800000.0,61590000.0,37580000.0,25280000.0,18330000.0,14010000.0,11160000.0,9137000.0,7717000.0,6596000.0,5756000.0,5078000.0,4533000.0,4089000.0,3689000.0,3376000.0,3103000.0,2857000.0,2377000.0,2028000.0,1762000.0,1570000.0,1397000.0,1258000.0,1138000.0,1022000.0,925500.0,847400.0,774000.0,723000.0,674500.0,638200.0,613000.0,592600.0,579200.0,554100.0,551700.0,538900.0,525000.0,518800.0,500000.0,506300.0,495500.0,473800.0,470100.0,455500.0,439400.0,427100.0,414600.0,399000.0,385800.0,378800.0,361800.0,358900.0,354900.0,341300.0,332700.0,330300.0,319600.0,306200.0,298100.0,289700.0,281000.0,213100.0,168900.0,141600.0,54400.0
7,1800.0,80.0,180400000.0,64300000.0,25870000.0,11870000.0,6244000.0,3715000.0,2436000.0,1726000.0,1296000.0,1021000.0,830600.0,698300.0,597400.0,521800.0,461800.0,413700.0,374800.0,340400.0,312800.0,288700.0,267200.0,224300.0,192300.0,167700.0,149500.0,133600.0,120800.0,110100.0,100000.0,91730.0,85050.0,78760.0,74340.0,70030.0,66720.0,64320.0,62320.0,60930.0,58460.0,58110.0,56830.0,55460.0,54850.0,53100.0,53680.0,52730.0,50800.0,50520.0,49260.0,47950.0,46970.0,45980.0,44600.0,43440.0,42850.0,41180.0,40970.0,40630.0,39220.0,38330.0,38110.0,36990.0,35510.0,34610.0,33660.0,32680.0,24860.0,19740.0,16570.0,6469.0
8,1600.0,30.0,219100000.0,84220000.0,33620000.0,15050000.0,7687000.0,4444000.0,2839000.0,1965000.0,1447000.0,1122000.0,901900.0,751700.0,639500.0,556800.0,492400.0,441600.0,401100.0,365700.0,337800.0,313700.0,292200.0,250100.0,219200.0,195600.0,178500.0,163200.0,150800.0,140400.0,130000.0,121500.0,114600.0,107800.0,103200.0,98500.0,94900.0,92350.0,90200.0,88770.0,85750.0,85590.0,84080.0,82390.0,81730.0,79430.0,80390.0,79170.0,76550.0,76260.0,74560.0,72840.0,71570.0,70270.0,68360.0,66730.0,65930.0,63520.0,63260.0,62800.0,60730.0,59430.0,59120.0,57480.0,55290.0,53960.0,52570.0,51110.0,39350.0,31480.0,26520.0,10480.0
9,4000.0,10.0,3892000000.0,1462000000.0,665100000.0,339600000.0,190100000.0,115600000.0,75080000.0,51930000.0,37280000.0,27890000.0,21230000.0,16980000.0,13640000.0,11370000.0,9608000.0,8286000.0,7264000.0,6333000.0,5681000.0,5122000.0,4620000.0,3696000.0,3039000.0,2542000.0,2196000.0,1873000.0,1627000.0,1427000.0,1235000.0,1087000.0,974900.0,869600.0,801800.0,735800.0,687600.0,654700.0,627100.0,608300.0,571200.0,566900.0,546300.0,524400.0,513000.0,483700.0,489800.0,471400.0,438700.0,430500.0,408300.0,381700.0,361000.0,340700.0,318400.0,300000.0,289200.0,268900.0,263600.0,257400.0,242500.0,233000.0,229300.0,217200.0,203600.0,194900.0,186400.0,177900.0,119500.0,88280.0,70380.0,22250.0
