,Altitude_km,Inclination_deg,0.01_mmAl,0.1_mmAl,0.2_mmAl,0.3_mmAl,0.4_mmAl,0.5_mmAl,0.6_mmAl,0.7_mmAl,0.8_mmAl,0.9_mmAl,1.0_mmAl,1.1_mmAl,1.2_mmAl,1.3_mmAl,1.4_mmAl,1.5_mmAl,1.6_mmAl,1.7_mmAl,1.8_mmAl,1.9_mmAl,2.0_mmAl,2.25_mmAl,2.5_mmAl,2.75_mmAl,3.0_mmAl,3.25_mmAl,3.5_mmAl,3.75_mmAl,4.0_mmAl,4.25_mmAl,4.5_mmAl,4.75_mmAl,5.0_mmAl,5.25_mmAl,5.5_mmAl,5.75_mmAl,6.0_mmAl,6.25_mmAl,6.5_mmAl,6.75_mmAl,7.0_mmAl,7.25_mmAl,7.5_mmAl,7.75_mmAl,8.0_mmAl,8.25_mmAl,8.5_mmAl,8.75_mmAl,9.0_mmAl,9.5_mmAl,10.0_mmAl,10.5_mmAl,11.0_mmAl,11.5_mmAl,12.0_mmAl,12.5_mmAl,13.0_mmAl,13.5_mmAl,14.0_mmAl,14.5_mmAl,15.0_mmAl,16.0_mmAl,17.0_mmAl,18.0_mmAl,19.0_mmAl,20.0_mmAl,30.0_mmAl,40.0_mmAl,50.0_mmAl,100.0_mmAl
0,700.0,90.0,5591000000000.0,963500000000.0,489800000000.0,328800000000.0,246400000000.0,198100000000.0,165500000000.0,143900000000.0,127800000000.0,115200000000.0,105600000000.0,97390000000.0,90290000000.0,84180000000.0,78990000000.0,74390000000.0,70380000000.0,66790000000.0,63570000000.0,60710000000.0,58210000000.0,53290000000.0,49610000000.0,46470000000.0,43780000000.0,41570000000.0,39730000000.0,38040000000.0,36530000000.0,35190000000.0,34040000000.0,33020000000.0,32060000000.0,31160000000.0,30320000000.0,29520000000.0,28760000000.0,28070000000.0,27410000000.0,26780000000.0,26190000000.0,25640000000.0,25140000000.0,24670000000.0,24220000000.0,23790000000.0,23360000000.0,22950000000.0,22560000000.0,21810000000.0,21110000000.0,20450000000.0,19830000000.0,19260000000.0,18710000000.0,18200000000.0,17730000000.0,17280000000.0,16860000000.0,16470000000.0,16100000000.0,15450000000.0,14830000000.0,14270000000.0,13740000000.0,13260000000.0,9619000000.0,7598000000.0,6305000000.0,2997000000.0
1,9000.0,20.0,1.849e+17,2427000000000000.0,427800000000000.0,137100000000000.0,57780000000000.0,25530000000000.0,13000000000000.0,8763000000000.0,6528000000000.0,5028000000000.0,4017000000000.0,3243000000000.0,2641000000000.0,2161000000000.0,1766000000000.0,1459000000000.0,1224000000000.0,1041000000000.0,897100000000.0,782400000000.0,694200000000.0,554400000000.0,473800000000.0,409800000000.0,358900000000.0,320300000000.0,290000000000.0,264100000000.0,242900000000.0,225600000000.0,212400000000.0,201600000000.0,191800000000.0,183000000000.0,175000000000.0,167600000000.0,160500000000.0,154200000000.0,148300000000.0,142300000000.0,136800000000.0,131700000000.0,127100000000.0,122900000000.0,118700000000.0,114800000000.0,111100000000.0,107600000000.0,103900000000.0,97310000000.0,90990000000.0,85000000000.0,79630000000.0,74600000000.0,70030000000.0,65930000000.0,62270000000.0,59100000000.0,56250000000.0,53650000000.0,51340000000.0,47730000000.0,44510000000.0,41580000000.0,38950000000.0,36580000000.0,20170000000.0,13310000000.0,9775000000.0,2224000000.0
2,25000.0,50.0,933100000000000.0,4717000000000.0,3066000000000.0,2358000000000.0,1889000000000.0,1564000000000.0,1317000000000.0,1117000000000.0,954400000000.0,822000000000.0,716500000000.0,628200000000.0,551900000000.0,486000000000.0,429800000000.0,381100000000.0,338700000000.0,301200000000.0,268100000000.0,239200000000.0,214600000000.0,166400000000.0,131700000000.0,105800000000.0,86620000000.0,72610000000.0,61940000000.0,53560000000.0,47000000000.0,41850000000.0,37740000000.0,34330000000.0,31500000000.0,29110000000.0,27060000000.0,25260000000.0,23610000000.0,22220000000.0,20970000000.0,19840000000.0,18800000000.0,17900000000.0,17110000000.0,16380000000.0,15680000000.0,15060000000.0,14470000000.0,13910000000.0,13370000000.0,12420000000.0,11560000000.0,10790000000.0,10140000000.0,9545000000.0,9002000000.0,8508000000.0,8061000000.0,7643000000.0,7256000000.0,6905000000.0,6579000000.0,6015000000.0,5521000000.0,5086000000.0,4705000000.0,4371000000.0,2403000000.0,1512000000.0,1062000000.0,318300000.0
3,400.0,10.0,71490000000.0,8812000000.0,3069000000.0,1747000000.0,1259000000.0,987800000.0,827100000.0,743400000.0,686400000.0,641800000.0,608200000.0,579200000.0,554000000.0,532200000.0,513900000.0,497300000.0,482900000.0,470000000.0,458400000.0,448000000.0,439000000.0,421900000.0,410000000.0,398900000.0,388800000.0,380300000.0,372800000.0,365600000.0,358900000.0,352800000.0,347500000.0,342600000.0,337900000.0,333300000.0,329000000.0,324800000.0,320600000.0,316700000.0,312800000.0,309200000.0,305600000.0,302200000.0,299100000.0,296100000.0,293000000.0,290100000.0,287200000.0,284300000.0,281500000.0,276100000.0,270900000.0,265900000.0,261200000.0,256800000.0,252500000.0,248500000.0,244600000.0,240900000.0,237400000.0,234000000.0,230700000.0,224800000.0,219200000.0,213900000.0,208800000.0,204000000.0,165300000.0,140000000.0,122000000.0,68240000.0
4,900.0,20.0,6629000000000.0,1269000000000.0,756200000000.0,567900000000.0,471800000000.0,415900000000.0,379400000000.0,358600000000.0,343200000000.0,330400000000.0,320100000000.0,310500000000.0,301600000000.0,293300000000.0,285300000000.0,277900000000.0,271300000000.0,265200000000.0,259700000000.0,254500000000.0,250000000000.0,240800000000.0,234000000000.0,227500000000.0,221600000000.0,216500000000.0,212000000000.0,207700000000.0,203500000000.0,199700000000.0,196200000000.0,193000000000.0,189900000000.0,186800000000.0,184000000000.0,181200000000.0,178500000000.0,175900000000.0,173400000000.0,171000000000.0,168700000000.0,166400000000.0,164400000000.0,162400000000.0,160400000000.0,158500000000.0,156600000000.0,154700000000.0,152900000000.0,149400000000.0,146000000000.0,142600000000.0,139500000000.0,136600000000.0,133700000000.0,131100000000.0,128500000000.0,126100000000.0,123800000000.0,121500000000.0,119300000000.0,115400000000.0,111700000000.0,108100000000.0,104800000000.0,101700000000.0,76270000000.0,60890000000.0,50810000000.0,24680000000.0
5,1000.0,40.0,13950000000000.0,2590000000000.0,1527000000000.0,1090000000000.0,851700000000.0,708600000000.0,616100000000.0,563100000000.0,525000000000.0,494200000000.0,470200000000.0,448900000000.0,429700000000.0,412400000000.0,397100000000.0,383000000000.0,370500000000.0,359100000000.0,348700000000.0,339200000000.0,330800000000.0,314000000000.0,301400000000.0,289900000000.0,279600000000.0,271100000000.0,263600000000.0,256500000000.0,250000000000.0,244200000000.0,239100000000.0,234600000000.0,230200000000.0,225900000000.0,222000000000.0,218100000000.0,214400000000.0,210800000000.0,207300000000.0,203900000000.0,200700000000.0,197700000000.0,194800000000.0,192100000000.0,189400000000.0,186700000000.0,184100000000.0,181600000000.0,179100000000.0,174400000000.0,169800000000.0,165200000000.0,161000000000.0,157100000000.0,153300000000.0,149800000000.0,146400000000.0,143200000000.0,140200000000.0,137300000000.0,134500000000.0,129600000000.0,124900000000.0,120500000000.0,116400000000.0,112600000000.0,81410000000.0,63500000000.0,52240000000.0,24190000000.0
6,2500.0,0.0,404000000000000.0,139700000000000.0,102600000000000.0,82470000000000.0,68450000000000.0,57280000000000.0,48870000000000.0,43060000000000.0,38570000000000.0,35000000000000.0,32220000000000.0,29790000000000.0,27650000000000.0,25760000000000.0,24080000000000.0,22570000000000.0,21260000000000.0,20080000000000.0,19030000000000.0,18090000000000.0,17270000000000.0,15640000000000.0,14440000000000.0,13420000000000.0,12550000000000.0,11850000000000.0,11280000000000.0,10750000000000.0,10290000000000.0,9893000000000.0,9575000000000.0,9302000000000.0,9044000000000.0,8800000000000.0,8575000000000.0,8359000000000.0,8152000000000.0,7960000000000.0,7776000000000.0,7592000000000.0,7419000000000.0,7257000000000.0,7109000000000.0,6968000000000.0,6832000000000.0,6700000000000.0,6572000000000.0,6448000000000.0,6325000000000.0,6092000000000.0,5870000000000.0,5656000000000.0,5467000000000.0,5291000000000.0,5126000000000.0,4974000000000.0,4834000000000.0,4710000000000.0,4595000000000.0,4489000000000.0,4394000000000.0,4239000000000.0,4095000000000.0,3958000000000.0,3830000000000.0,3711000000000.0,2795000000000.0,2266000000000.0,1916000000000.0,930300000000.0
7,1800.0,80.0,169500000000000.0,16890000000000.0,10280000000000.0,7652000000000.0,6126000000000.0,5060000000000.0,4309000000000.0,3826000000000.0,3463000000000.0,3174000000000.0,2948000000000.0,2749000000000.0,2572000000000.0,2415000000000.0,2274000000000.0,2147000000000.0,2037000000000.0,1939000000000.0,1852000000000.0,1774000000000.0,1707000000000.0,1576000000000.0,1481000000000.0,1399000000000.0,1327000000000.0,1268000000000.0,1219000000000.0,1173000000000.0,1132000000000.0,1096000000000.0,1067000000000.0,1040000000000.0,1015000000000.0,991300000000.0,968500000000.0,946600000000.0,925500000000.0,906300000000.0,887900000000.0,869900000000.0,853100000000.0,837100000000.0,822500000000.0,808600000000.0,795300000000.0,782400000000.0,769700000000.0,757500000000.0,745400000000.0,722700000000.0,701300000000.0,680500000000.0,660900000000.0,642300000000.0,624800000000.0,608800000000.0,593800000000.0,580000000000.0,567000000000.0,555000000000.0,544000000000.0,525000000000.0,507000000000.0,490200000000.0,474400000000.0,459300000000.0,339600000000.0,271600000000.0,227500000000.0,108900000000.0
8,1600.0,30.0,96440000000000.0,20250000000000.0,13280000000000.0,10130000000000.0,8211000000000.0,6867000000000.0,5915000000000.0,5303000000000.0,4839000000000.0,4466000000000.0,4175000000000.0,3916000000000.0,3686000000000.0,3477000000000.0,3287000000000.0,3116000000000.0,2967000000000.0,2834000000000.0,2715000000000.0,2609000000000.0,2517000000000.0,2336000000000.0,2207000000000.0,2092000000000.0,1993000000000.0,1911000000000.0,1842000000000.0,1777000000000.0,1720000000000.0,1669000000000.0,1627000000000.0,1591000000000.0,1556000000000.0,1522000000000.0,1491000000000.0,1461000000000.0,1432000000000.0,1404000000000.0,1378000000000.0,1352000000000.0,1327000000000.0,1304000000000.0,1282000000000.0,1262000000000.0,1242000000000.0,1222000000000.0,1203000000000.0,1184000000000.0,1166000000000.0,1131000000000.0,1097000000000.0,1064000000000.0,1034000000000.0,1007000000000.0,980600000000.0,956200000000.0,933100000000.0,912200000000.0,892500000000.0,873800000000.0,856300000000.0,826400000000.0,798500000000.0,772000000000.0,747100000000.0,723800000000.0,536300000000.0,426600000000.0,356000000000.0,171900000000.0
9,4000.0,10.0,4680000000000000.0,865800000000000.0,460000000000000.0,294800000000000.0,204500000000000.0,147500000000000.0,112400000000000.0,93540000000000.0,80450000000000.0,70310000000000.0,62520000000000.0,55810000000000.0,49950000000000.0,44730000000000.0,39900000000000.0,35770000000000.0,32320000000000.0,29400000000000.0,26910000000000.0,24770000000000.0,23000000000000.0,19770000000000.0,17610000000000.0,15830000000000.0,14370000000000.0,13220000000000.0,12300000000000.0,11470000000000.0,10770000000000.0,10180000000000.0,9709000000000.0,9314000000000.0,8945000000000.0,8602000000000.0,8289000000000.0,7993000000000.0,7712000000000.0,7455000000000.0,7212000000000.0,6970000000000.0,6747000000000.0,6539000000000.0,6352000000000.0,6176000000000.0,6008000000000.0,5846000000000.0,5690000000000.0,5541000000000.0,5393000000000.0,5116000000000.0,4856000000000.0,4609000000000.0,4392000000000.0,4194000000000.0,4010000000000.0,3844000000000.0,3692000000000.0,3561000000000.0,3442000000000.0,3334000000000.0,3239000000000.0,3088000000000.0,2951000000000.0,2822000000000.0,2703000000000.0,2593000000000.0,1774000000000.0,1343000000000.0,1082000000000.0,429900000000.0
