,Altitude_km,Inclination_deg,0.01_mmAl,0.1_mmAl,0.2_mmAl,0.3_mmAl,0.4_mmAl,0.5_mmAl,0.6_mmAl,0.7_mmAl,0.8_mmAl,0.9_mmAl,1.0_mmAl,1.1_mmAl,1.2_mmAl,1.3_mmAl,1.4_mmAl,1.5_mmAl,1.6_mmAl,1.7_mmAl,1.8_mmAl,1.9_mmAl,2.0_mmAl,2.25_mmAl,2.5_mmAl,2.75_mmAl,3.0_mmAl,3.25_mmAl,3.5_mmAl,3.75_mmAl,4.0_mmAl,4.25_mmAl,4.5_mmAl,4.75_mmAl,5.0_mmAl,5.25_mmAl,5.5_mmAl,5.75_mmAl,6.0_mmAl,6.25_mmAl,6.5_mmAl,6.75_mmAl,7.0_mmAl,7.25_mmAl,7.5_mmAl,7.75_mmAl,8.0_mmAl,8.25_mmAl,8.5_mmAl,8.75_mmAl,9.0_mmAl,9.5_mmAl,10.0_mmAl,10.5_mmAl,11.0_mmAl,11.5_mmAl,12.0_mmAl,12.5_mmAl,13.0_mmAl,13.5_mmAl,14.0_mmAl,14.5_mmAl,15.0_mmAl,16.0_mmAl,17.0_mmAl,18.0_mmAl,19.0_mmAl,20.0_mmAl,30.0_mmAl,40.0_mmAl,50.0_mmAl,100.0_mmAl
0,700.0,90.0,3119000000000.0,670200000000.0,333500000000.0,227000000000.0,173400000000.0,141000000000.0,118400000000.0,103000000000.0,91350000000.0,82200000000.0,75160000000.0,69110000000.0,63880000000.0,59390000000.0,55600000000.0,52220000000.0,49230000000.0,46550000000.0,44140000000.0,41960000000.0,40050000000.0,36180000000.0,33230000000.0,30710000000.0,28560000000.0,26790000000.0,25320000000.0,23980000000.0,22790000000.0,21750000000.0,20860000000.0,20070000000.0,19340000000.0,18650000000.0,18020000000.0,17420000000.0,16860000000.0,16350000000.0,15870000000.0,15420000000.0,15000000000.0,14610000000.0,14260000000.0,13930000000.0,13610000000.0,13310000000.0,13020000000.0,12740000000.0,12470000000.0,11970000000.0,11510000000.0,11080000000.0,10680000000.0,10310000000.0,9971000000.0,9656000000.0,9363000000.0,9092000000.0,8839000000.0,8606000000.0,8391000000.0,8018000000.0,7674000000.0,7360000000.0,7072000000.0,6808000000.0,4927000000.0,3897000000.0,3239000000.0,1553000000.0
1,9000.0,20.0,9.54e+16,1498000000000000.0,247800000000000.0,71880000000000.0,27520000000000.0,11810000000000.0,5944000000000.0,3970000000000.0,2943000000000.0,2260000000000.0,1807000000000.0,1464000000000.0,1201000000000.0,995400000000.0,834500000000.0,706500000000.0,606100000000.0,525500000000.0,460700000000.0,407900000000.0,366300000000.0,297800000000.0,256800000000.0,224000000000.0,197800000000.0,177800000000.0,162000000000.0,148500000000.0,137200000000.0,128100000000.0,121000000000.0,115200000000.0,109900000000.0,105100000000.0,100700000000.0,96590000000.0,92650000000.0,89120000000.0,85790000000.0,82400000000.0,79230000000.0,76340000000.0,73740000000.0,71300000000.0,68930000000.0,66700000000.0,64570000000.0,62520000000.0,60420000000.0,56600000000.0,52950000000.0,49480000000.0,46350000000.0,43410000000.0,40730000000.0,38320000000.0,36150000000.0,34270000000.0,32570000000.0,31000000000.0,29590000000.0,27360000000.0,25380000000.0,23590000000.0,21980000000.0,20550000000.0,10580000000.0,6585000000.0,4646000000.0,967800000.0
2,25000.0,50.0,560800000000000.0,4258000000000.0,2746000000000.0,2083000000000.0,1648000000000.0,1350000000000.0,1125000000000.0,944600000000.0,799400000000.0,683000000000.0,591500000000.0,515600000000.0,450800000000.0,395400000000.0,348800000000.0,308900000000.0,274300000000.0,244000000000.0,217500000000.0,194500000000.0,175000000000.0,137200000000.0,110300000000.0,90300000000.0,75410000000.0,64440000000.0,56030000000.0,49290000000.0,43900000000.0,39580000000.0,36060000000.0,33100000000.0,30580000000.0,28410000000.0,26520000000.0,24820000000.0,23280000000.0,21950000000.0,20740000000.0,19640000000.0,18640000000.0,17760000000.0,16980000000.0,16260000000.0,15590000000.0,14970000000.0,14390000000.0,13830000000.0,13300000000.0,12360000000.0,11510000000.0,10750000000.0,10100000000.0,9517000000.0,8980000000.0,8491000000.0,8045000000.0,7629000000.0,7246000000.0,6896000000.0,6574000000.0,6012000000.0,5519000000.0,5086000000.0,4705000000.0,4371000000.0,2403000000.0,1512000000.0,1062000000.0,318300000.0
3,400.0,10.0,30950000000.0,3406000000.0,1358000000.0,797300000.0,562700000.0,436000000.0,360700000.0,321000000.0,293500000.0,271900000.0,255400000.0,241000000.0,228400000.0,217200000.0,207400000.0,198500000.0,191000000.0,184300000.0,178400000.0,173100000.0,168600000.0,160200000.0,154500000.0,149300000.0,144600000.0,140800000.0,137500000.0,134300000.0,131400000.0,128800000.0,126700000.0,124700000.0,122900000.0,121100000.0,119400000.0,117700000.0,116100000.0,114500000.0,113100000.0,111600000.0,110200000.0,108900000.0,107700000.0,106500000.0,105300000.0,104100000.0,103000000.0,101900000.0,100800000.0,98740000.0,96720000.0,94760000.0,92970000.0,91290000.0,89650000.0,88120000.0,86640000.0,85260000.0,83930000.0,82680000.0,81480000.0,79360000.0,77360000.0,75430000.0,73600000.0,71870000.0,58140000.0,49140000.0,42710000.0,23710000.0
4,900.0,20.0,3148000000000.0,547900000000.0,339500000000.0,269200000000.0,233400000000.0,209000000000.0,191400000000.0,180000000000.0,171200000000.0,163800000000.0,157800000000.0,152300000000.0,147300000000.0,142500000000.0,138100000000.0,134000000000.0,130200000000.0,126800000000.0,123700000000.0,120800000000.0,118200000000.0,112900000000.0,108900000000.0,105200000000.0,101800000000.0,99010000000.0,96550000000.0,94200000000.0,92030000000.0,90060000000.0,88370000000.0,86840000000.0,85360000000.0,83940000000.0,82610000000.0,81310000000.0,80040000000.0,78830000000.0,77660000000.0,76500000000.0,75390000000.0,74330000000.0,73350000000.0,72410000000.0,71480000000.0,70570000000.0,69670000000.0,68790000000.0,67930000000.0,66270000000.0,64660000000.0,63070000000.0,61630000000.0,60270000000.0,58960000000.0,57740000000.0,56570000000.0,55500000000.0,54480000000.0,53510000000.0,52610000000.0,51020000000.0,49530000000.0,48110000000.0,46770000000.0,45500000000.0,35380000000.0,29050000000.0,24730000000.0,12760000000.0
5,1000.0,40.0,7097000000000.0,1218000000000.0,734200000000.0,548900000000.0,447800000000.0,380600000000.0,334200000000.0,305800000000.0,284500000000.0,267100000000.0,253300000000.0,241000000000.0,229800000000.0,219600000000.0,210400000000.0,202000000000.0,194500000000.0,187600000000.0,181400000000.0,175700000000.0,170700000000.0,160600000000.0,153000000000.0,146100000000.0,140100000000.0,135100000000.0,130800000000.0,126700000000.0,123000000000.0,119800000000.0,117000000000.0,114600000000.0,112300000000.0,110100000000.0,108000000000.0,105900000000.0,104000000000.0,102100000000.0,100300000000.0,98510000000.0,96810000000.0,95180000000.0,93690000000.0,92250000000.0,90840000000.0,89460000000.0,88120000000.0,86800000000.0,85490000000.0,83000000000.0,80590000000.0,78220000000.0,76070000000.0,74050000000.0,72120000000.0,70320000000.0,68620000000.0,67070000000.0,65610000000.0,64230000000.0,62930000000.0,60700000000.0,58610000000.0,56640000000.0,54780000000.0,53050000000.0,39240000000.0,31150000000.0,25940000000.0,12390000000.0
6,2500.0,0.0,214700000000000.0,77410000000000.0,58110000000000.0,47150000000000.0,39240000000000.0,32990000000000.0,28390000000000.0,25380000000000.0,23060000000000.0,21170000000000.0,19660000000000.0,18310000000000.0,17100000000000.0,15980000000000.0,14940000000000.0,14010000000000.0,13190000000000.0,12460000000000.0,11810000000000.0,11230000000000.0,10720000000000.0,9713000000000.0,8974000000000.0,8340000000000.0,7801000000000.0,7368000000000.0,7011000000000.0,6685000000000.0,6399000000000.0,6152000000000.0,5954000000000.0,5784000000000.0,5622000000000.0,5470000000000.0,5330000000000.0,5196000000000.0,5067000000000.0,4947000000000.0,4832000000000.0,4719000000000.0,4613000000000.0,4513000000000.0,4422000000000.0,4336000000000.0,4252000000000.0,4171000000000.0,4092000000000.0,4016000000000.0,3941000000000.0,3799000000000.0,3663000000000.0,3532000000000.0,3418000000000.0,3312000000000.0,3213000000000.0,3121000000000.0,3035000000000.0,2960000000000.0,2890000000000.0,2825000000000.0,2766000000000.0,2671000000000.0,2582000000000.0,2497000000000.0,2417000000000.0,2343000000000.0,1752000000000.0,1396000000000.0,1160000000000.0,527400000000.0
7,1800.0,80.0,91420000000000.0,9813000000000.0,5956000000000.0,4462000000000.0,3597000000000.0,2983000000000.0,2551000000000.0,2281000000000.0,2078000000000.0,1914000000000.0,1784000000000.0,1668000000000.0,1564000000000.0,1471000000000.0,1387000000000.0,1311000000000.0,1245000000000.0,1185000000000.0,1131000000000.0,1083000000000.0,1041000000000.0,958500000000.0,896900000000.0,843500000000.0,797300000000.0,759300000000.0,727700000000.0,698300000000.0,672200000000.0,649400000000.0,630500000000.0,614000000000.0,598300000000.0,583200000000.0,569000000000.0,555300000000.0,542300000000.0,530400000000.0,518900000000.0,507900000000.0,497500000000.0,487700000000.0,478700000000.0,470100000000.0,462000000000.0,454100000000.0,446500000000.0,439000000000.0,431600000000.0,417900000000.0,405000000000.0,392500000000.0,380800000000.0,369700000000.0,359300000000.0,349800000000.0,340900000000.0,332800000000.0,325200000000.0,318200000000.0,311800000000.0,301000000000.0,290700000000.0,281200000000.0,272200000000.0,263600000000.0,195800000000.0,156300000000.0,130200000000.0,60250000000.0
8,1600.0,30.0,54040000000000.0,11320000000000.0,7529000000000.0,5826000000000.0,4773000000000.0,4008000000000.0,3464000000000.0,3122000000000.0,2862000000000.0,2651000000000.0,2484000000000.0,2334000000000.0,2200000000000.0,2077000000000.0,1964000000000.0,1863000000000.0,1773000000000.0,1692000000000.0,1620000000000.0,1555000000000.0,1498000000000.0,1384000000000.0,1300000000000.0,1226000000000.0,1163000000000.0,1111000000000.0,1067000000000.0,1027000000000.0,990700000000.0,959300000000.0,933600000000.0,911200000000.0,889800000000.0,869600000000.0,850700000000.0,832500000000.0,814900000000.0,798400000000.0,782600000000.0,766900000000.0,752100000000.0,738100000000.0,725200000000.0,712900000000.0,700900000000.0,689300000000.0,677900000000.0,666800000000.0,655900000000.0,635100000000.0,615200000000.0,595800000000.0,578500000000.0,562400000000.0,547100000000.0,532900000000.0,519600000000.0,507600000000.0,496400000000.0,485900000000.0,476100000000.0,459800000000.0,444500000000.0,430000000000.0,416300000000.0,403500000000.0,301600000000.0,240500000000.0,200400000000.0,94150000000.0
9,4000.0,10.0,2472000000000000.0,487200000000000.0,270300000000000.0,177500000000000.0,124700000000000.0,90050000000000.0,68260000000000.0,56110000000000.0,47620000000000.0,41130000000000.0,36220000000000.0,32040000000000.0,28440000000000.0,25290000000000.0,22420000000000.0,19990000000000.0,17970000000000.0,16270000000000.0,14830000000000.0,13600000000000.0,12580000000000.0,10730000000000.0,9513000000000.0,8519000000000.0,7707000000000.0,7077000000000.0,6578000000000.0,6136000000000.0,5762000000000.0,5450000000000.0,5208000000000.0,5009000000000.0,4821000000000.0,4647000000000.0,4487000000000.0,4336000000000.0,4192000000000.0,4060000000000.0,3935000000000.0,3812000000000.0,3698000000000.0,3591000000000.0,3495000000000.0,3404000000000.0,3317000000000.0,3234000000000.0,3153000000000.0,3075000000000.0,2999000000000.0,2855000000000.0,2720000000000.0,2591000000000.0,2479000000000.0,2377000000000.0,2281000000000.0,2194000000000.0,2114000000000.0,2045000000000.0,1981000000000.0,1923000000000.0,1871000000000.0,1789000000000.0,1714000000000.0,1643000000000.0,1577000000000.0,1516000000000.0,1045000000000.0,784500000000.0,622500000000.0,222300000000.0
