,Altitude_km,Inclination_deg,0.01_mmAl,0.1_mmAl,0.2_mmAl,0.3_mmAl,0.4_mmAl,0.5_mmAl,0.6_mmAl,0.7_mmAl,0.8_mmAl,0.9_mmAl,1.0_mmAl,1.1_mmAl,1.2_mmAl,1.3_mmAl,1.4_mmAl,1.5_mmAl,1.6_mmAl,1.7_mmAl,1.8_mmAl,1.9_mmAl,2.0_mmAl,2.25_mmAl,2.5_mmAl,2.75_mmAl,3.0_mmAl,3.25_mmAl,3.5_mmAl,3.75_mmAl,4.0_mmAl,4.25_mmAl,4.5_mmAl,4.75_mmAl,5.0_mmAl,5.25_mmAl,5.5_mmAl,5.75_mmAl,6.0_mmAl,6.25_mmAl,6.5_mmAl,6.75_mmAl,7.0_mmAl,7.25_mmAl,7.5_mmAl,7.75_mmAl,8.0_mmAl,8.25_mmAl,8.5_mmAl,8.75_mmAl,9.0_mmAl,9.5_mmAl,10.0_mmAl,10.5_mmAl,11.0_mmAl,11.5_mmAl,12.0_mmAl,12.5_mmAl,13.0_mmAl,13.5_mmAl,14.0_mmAl,14.5_mmAl,15.0_mmAl,16.0_mmAl,17.0_mmAl,18.0_mmAl,19.0_mmAl,20.0_mmAl,30.0_mmAl,40.0_mmAl,50.0_mmAl,100.0_mmAl
0,700.0,90.0,4261000000000.0,631200000000.0,305600000000.0,205700000000.0,156400000000.0,127200000000.0,106900000000.0,92670000000.0,81820000000.0,73360000000.0,66890000000.0,61350000000.0,56590000000.0,52530000000.0,49230000000.0,46260000000.0,43620000000.0,41230000000.0,39070000000.0,37120000000.0,35370000000.0,31780000000.0,29030000000.0,26700000000.0,24760000000.0,23160000000.0,21850000000.0,20690000000.0,19670000000.0,18770000000.0,18000000000.0,17320000000.0,16690000000.0,16120000000.0,15590000000.0,15100000000.0,14650000000.0,14230000000.0,13840000000.0,13480000000.0,13140000000.0,12830000000.0,12550000000.0,12290000000.0,12040000000.0,11810000000.0,11580000000.0,11360000000.0,11150000000.0,10770000000.0,10410000000.0,10090000000.0,9792000000.0,9526000000.0,9272000000.0,9034000000.0,8811000000.0,8599000000.0,8398000000.0,8210000000.0,8032000000.0,7705000000.0,7405000000.0,7128000000.0,6873000000.0,6640000000.0,4993000000.0,3866000000.0,3167000000.0,1347000000.0
1,9000.0,20.0,1.435e+17,2693000000000000.0,520100000000000.0,178400000000000.0,83130000000000.0,46460000000000.0,28460000000000.0,19480000000000.0,14040000000000.0,10380000000000.0,7892000000000.0,6098000000000.0,4795000000000.0,3849000000000.0,3189000000000.0,2667000000000.0,2249000000000.0,1913000000000.0,1641000000000.0,1415000000000.0,1230000000000.0,906200000000.0,697800000000.0,543000000000.0,427700000000.0,340200000000.0,272500000000.0,221200000000.0,182200000000.0,152500000000.0,130800000000.0,114200000000.0,100100000000.0,88290000000.0,78460000000.0,70170000000.0,63420000000.0,57610000000.0,52460000000.0,47980000000.0,43980000000.0,40350000000.0,37200000000.0,34320000000.0,31740000000.0,29370000000.0,27150000000.0,25070000000.0,23160000000.0,19560000000.0,16660000000.0,14370000000.0,12630000000.0,11280000000.0,10120000000.0,9121000000.0,8253000000.0,7506000000.0,6862000000.0,6307000000.0,5833000000.0,5093000000.0,4474000000.0,3950000000.0,3505000000.0,3130000000.0,1231000000.0,582300000.0,296000000.0,11730000.0
2,25000.0,50.0,711000000000000.0,6168000000000.0,4286000000000.0,3282000000000.0,2591000000000.0,2120000000000.0,1763000000000.0,1477000000000.0,1244000000000.0,1057000000000.0,909800000000.0,788000000000.0,684500000000.0,596900000000.0,523700000000.0,461300000000.0,407600000000.0,360600000000.0,319500000000.0,284000000000.0,253800000000.0,195000000000.0,152500000000.0,121000000000.0,97580000000.0,80520000000.0,67590000000.0,57480000000.0,49650000000.0,43550000000.0,38750000000.0,34860000000.0,31670000000.0,29020000000.0,26780000000.0,24850000000.0,23190000000.0,21750000000.0,20470000000.0,19350000000.0,18360000000.0,17480000000.0,16700000000.0,16000000000.0,15360000000.0,14750000000.0,14180000000.0,13650000000.0,13150000000.0,12230000000.0,11400000000.0,10670000000.0,10030000000.0,9463000000.0,8938000000.0,8458000000.0,8015000000.0,7606000000.0,7227000000.0,6882000000.0,6564000000.0,6007000000.0,5517000000.0,5085000000.0,4705000000.0,4371000000.0,2403000000.0,1512000000.0,1061000000.0,318300000.0
3,400.0,10.0,880700.0,254500.0,220700.0,191600.0,167800.0,150200.0,134900.0,122600.0,111600.0,102100.0,94380.0,87610.0,80400.0,74540.0,69410.0,64630.0,60340.0,55230.0,51300.0,47690.0,44510.0,36380.0,30120.0,24260.0,19540.0,15440.0,11960.0,9070.0,7025.0,5236.0,3815.0,2688.0,1866.0,1265.0,826.6,479.7,256.1,122.7,56.43,19.09,3.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,900.0,20.0,152300000000.0,90180000000.0,81500000000.0,75100000000.0,70900000000.0,68060000000.0,65750000000.0,63870000000.0,62090000000.0,60560000000.0,59180000000.0,57900000000.0,56710000000.0,55640000000.0,54710000000.0,53700000000.0,52880000000.0,52110000000.0,51380000000.0,50690000000.0,50050000000.0,48550000000.0,47410000000.0,46360000000.0,45420000000.0,44480000000.0,43760000000.0,43090000000.0,42450000000.0,41730000000.0,41190000000.0,40690000000.0,40210000000.0,39750000000.0,39190000000.0,38770000000.0,38370000000.0,37990000000.0,37620000000.0,37130000000.0,36790000000.0,36460000000.0,36160000000.0,35860000000.0,35450000000.0,35170000000.0,34890000000.0,34610000000.0,34350000000.0,33710000000.0,33230000000.0,32770000000.0,32200000000.0,31780000000.0,31380000000.0,30980000000.0,30460000000.0,30080000000.0,29710000000.0,29220000000.0,28880000000.0,28090000000.0,27470000000.0,26740000000.0,26170000000.0,25490000000.0,20590000000.0,17090000000.0,14610000000.0,7607000000.0
5,1000.0,40.0,3659000000000.0,630500000000.0,374600000000.0,278800000000.0,228000000000.0,196600000000.0,174500000000.0,159400000000.0,147800000000.0,138500000000.0,131200000000.0,124800000000.0,119100000000.0,114100000000.0,109900000000.0,105900000000.0,102400000000.0,99280000000.0,96400000000.0,93760000000.0,91420000000.0,86490000000.0,82790000000.0,79570000000.0,76840000000.0,74430000000.0,72550000000.0,70820000000.0,69250000000.0,67660000000.0,66400000000.0,65260000000.0,64160000000.0,63150000000.0,62060000000.0,61160000000.0,60350000000.0,59590000000.0,58850000000.0,58010000000.0,57340000000.0,56690000000.0,56080000000.0,55500000000.0,54790000000.0,54240000000.0,53700000000.0,53160000000.0,52640000000.0,51490000000.0,50530000000.0,49640000000.0,48660000000.0,47890000000.0,47130000000.0,46400000000.0,45540000000.0,44840000000.0,44170000000.0,43380000000.0,42770000000.0,41450000000.0,40340000000.0,39120000000.0,38110000000.0,37000000000.0,28730000000.0,23000000000.0,19180000000.0,9252000000.0
6,2500.0,0.0,77410000000000.0,50760000000000.0,43230000000000.0,37400000000000.0,32050000000000.0,27470000000000.0,23820000000000.0,21110000000000.0,18900000000000.0,17030000000000.0,15450000000000.0,14080000000000.0,12900000000000.0,11880000000000.0,11020000000000.0,10250000000000.0,9583000000000.0,8980000000000.0,8441000000000.0,7963000000000.0,7548000000000.0,6735000000000.0,6142000000000.0,5653000000000.0,5257000000000.0,4933000000000.0,4670000000000.0,4438000000000.0,4239000000000.0,4056000000000.0,3907000000000.0,3775000000000.0,3652000000000.0,3545000000000.0,3445000000000.0,3360000000000.0,3291000000000.0,3229000000000.0,3170000000000.0,3108000000000.0,3055000000000.0,3002000000000.0,2953000000000.0,2905000000000.0,2854000000000.0,2809000000000.0,2764000000000.0,2720000000000.0,2676000000000.0,2582000000000.0,2500000000000.0,2426000000000.0,2356000000000.0,2299000000000.0,2244000000000.0,2194000000000.0,2140000000000.0,2095000000000.0,2052000000000.0,2007000000000.0,1971000000000.0,1901000000000.0,1842000000000.0,1780000000000.0,1727000000000.0,1672000000000.0,1271000000000.0,1004000000000.0,829700000000.0,386100000000.0
7,1800.0,80.0,87570000000000.0,5932000000000.0,3572000000000.0,2685000000000.0,2192000000000.0,1868000000000.0,1629000000000.0,1461000000000.0,1327000000000.0,1214000000000.0,1118000000000.0,1036000000000.0,964800000000.0,902800000000.0,850400000000.0,803200000000.0,762800000000.0,727300000000.0,695800000000.0,667500000000.0,642500000000.0,591700000000.0,553600000000.0,521300000000.0,494500000000.0,471700000000.0,453100000000.0,436500000000.0,421900000000.0,408800000000.0,397500000000.0,387500000000.0,378000000000.0,369500000000.0,361800000000.0,354800000000.0,348800000000.0,343200000000.0,337900000000.0,332900000000.0,328100000000.0,323500000000.0,319200000000.0,315000000000.0,311000000000.0,307200000000.0,303300000000.0,299400000000.0,295700000000.0,288300000000.0,281400000000.0,275000000000.0,269300000000.0,264100000000.0,259000000000.0,254300000000.0,249700000000.0,245300000000.0,241100000000.0,237200000000.0,233400000000.0,226500000000.0,220000000000.0,213700000000.0,207800000000.0,202200000000.0,158800000000.0,125600000000.0,104600000000.0,45890000000.0
8,1600.0,30.0,8954000000000.0,4269000000000.0,3234000000000.0,2661000000000.0,2292000000000.0,2035000000000.0,1837000000000.0,1689000000000.0,1564000000000.0,1457000000000.0,1363000000000.0,1281000000000.0,1208000000000.0,1144000000000.0,1090000000000.0,1040000000000.0,996700000000.0,959100000000.0,925500000000.0,894900000000.0,867700000000.0,811400000000.0,768800000000.0,732200000000.0,701400000000.0,674600000000.0,652900000000.0,633200000000.0,615700000000.0,598600000000.0,584800000000.0,572400000000.0,560600000000.0,549900000000.0,538900000000.0,529900000000.0,522000000000.0,514700000000.0,507600000000.0,499800000000.0,493400000000.0,487100000000.0,481300000000.0,475600000000.0,469000000000.0,463700000000.0,458500000000.0,453200000000.0,448200000000.0,436900000000.0,427500000000.0,418700000000.0,409500000000.0,402200000000.0,395100000000.0,388300000000.0,380500000000.0,374200000000.0,368100000000.0,361100000000.0,355700000000.0,344300000000.0,334600000000.0,324200000000.0,315400000000.0,305900000000.0,235500000000.0,187400000000.0,155700000000.0,74570000000.0
9,4000.0,10.0,1389000000000000.0,678500000000000.0,479000000000000.0,355000000000000.0,268500000000000.0,205700000000000.0,160000000000000.0,127500000000000.0,103000000000000.0,83570000000000.0,68120000000000.0,56180000000000.0,46920000000000.0,39730000000000.0,34350000000000.0,29910000000000.0,26260000000000.0,23200000000000.0,20650000000000.0,18490000000000.0,16700000000000.0,13510000000000.0,11410000000000.0,9748000000000.0,8455000000000.0,7431000000000.0,6605000000000.0,5921000000000.0,5365000000000.0,4899000000000.0,4527000000000.0,4219000000000.0,3943000000000.0,3712000000000.0,3514000000000.0,3348000000000.0,3221000000000.0,3110000000000.0,3006000000000.0,2909000000000.0,2819000000000.0,2730000000000.0,2648000000000.0,2569000000000.0,2493000000000.0,2422000000000.0,2351000000000.0,2280000000000.0,2212000000000.0,2070000000000.0,1946000000000.0,1838000000000.0,1745000000000.0,1668000000000.0,1597000000000.0,1532000000000.0,1471000000000.0,1417000000000.0,1368000000000.0,1322000000000.0,1283000000000.0,1215000000000.0,1155000000000.0,1099000000000.0,1049000000000.0,1002000000000.0,687900000000.0,511200000000.0,401500000000.0,153600000000.0
