Altitude_km,Inclination_deg,0.01_mmAl_rel_diff,0.1_mmAl_rel_diff,0.2_mmAl_rel_diff,0.3_mmAl_rel_diff,0.4_mmAl_rel_diff,0.5_mmAl_rel_diff,0.6_mmAl_rel_diff,0.7_mmAl_rel_diff,0.8_mmAl_rel_diff,0.9_mmAl_rel_diff,1.0_mmAl_rel_diff,1.1_mmAl_rel_diff,1.2_mmAl_rel_diff,1.3_mmAl_rel_diff,1.4_mmAl_rel_diff,1.5_mmAl_rel_diff,1.6_mmAl_rel_diff,1.7_mmAl_rel_diff,1.8_mmAl_rel_diff,1.9_mmAl_rel_diff,2.0_mmAl_rel_diff,2.25_mmAl_rel_diff,2.5_mmAl_rel_diff,2.75_mmAl_rel_diff,3.0_mmAl_rel_diff,3.25_mmAl_rel_diff,3.5_mmAl_rel_diff,3.75_mmAl_rel_diff,4.0_mmAl_rel_diff,4.25_mmAl_rel_diff,4.5_mmAl_rel_diff,4.75_mmAl_rel_diff,5.0_mmAl_rel_diff,5.25_mmAl_rel_diff,5.5_mmAl_rel_diff,5.75_mmAl_rel_diff,6.0_mmAl_rel_diff,6.25_mmAl_rel_diff,6.5_mmAl_rel_diff,6.75_mmAl_rel_diff,7.0_mmAl_rel_diff,7.25_mmAl_rel_diff,7.5_mmAl_rel_diff,7.75_mmAl_rel_diff,8.0_mmAl_rel_diff,8.25_mmAl_rel_diff,8.5_mmAl_rel_diff,8.75_mmAl_rel_diff,9.0_mmAl_rel_diff,9.5_mmAl_rel_diff,10.0_mmAl_rel_diff,10.5_mmAl_rel_diff,11.0_mmAl_rel_diff,11.5_mmAl_rel_diff,12.0_mmAl_rel_diff,12.5_mmAl_rel_diff,13.0_mmAl_rel_diff,13.5_mmAl_rel_diff,14.0_mmAl_rel_diff,14.5_mmAl_rel_diff,15.0_mmAl_rel_diff,16.0_mmAl_rel_diff,17.0_mmAl_rel_diff,18.0_mmAl_rel_diff,19.0_mmAl_rel_diff,20.0_mmAl_rel_diff,30.0_mmAl_rel_diff,40.0_mmAl_rel_diff,50.0_mmAl_rel_diff,100.0_mmAl_rel_diff
200.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200.0,10.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
200.0,20.0,-0.9998458110516935,-0.9995339862361038,-0.9991117393645665,-0.9985749644381223,-0.9979137931034483,-0.997128277153558,-0.9963132958246965,-0.9955959982971477,-0.9950687622789783,-0.9947766323024055,-0.9946778042959428,-0.9947165633303808,-0.9948294089380105,-0.9949748846745259,-0.9951245262587981,-0.9953028764805415,-0.9954690058479532,-0.9955984204131227,-0.9957374686716792,-0.9958771704180064,-0.9960138157894737,-0.996288206559665,-0.9965722585330429,-0.9968308270676691,-0.9970729813664596,-0.9973197767145136,-0.9975852272727272,-0.9978283333333333,-0.998075873827792,-0.998335064935065,-0.9985817860300619,-0.9988316920322292,-0.999051282051282,-0.9992580018501388,-0.9994277882797732,-0.9995725961538462,-0.9996924951267057,-0.9997876604146101,-0.9998593922374888,-0.9999119575113808,-0.9999467411545624,-0.999969020309376,-0.9999815483182061,-0.9999878194845471,-0.9999902771762668,-0.9999909539252964,-0.9999913549403556,-0.9999915381984037,-0.9999916879972328,-0.9999919074052203,-0.9999921385614626,-0.999992203263171,-0.999992308382466,-0.9999925988193018,-0.9999926467097455,-0.9999925144747726,-0.9999926592950933,-0.9999927076318743,-0.9999927638119586,-0.9999927259496434,-0.9999926280222255,-0.9999927109266943,-0.999992801947542,-0.99999288585209,-0.999992759437955,-0.9999927521008404,-0.9999925996881265,-0.9999920415824429,-0.9999926182483979,-0.9999838832752613
200.0,30.0,-0.9981667226890756,-0.994393217755763,-0.992190160832545,-0.9898043052837573,-0.986398684450941,-0.9818337484433375,-0.9766762589928057,-0.9714534494306765,-0.9666638005159072,-0.9624510006189395,-0.9590173615212,-0.9561279328876655,-0.9537221905305191,-0.9518677281077771,-0.9500571055637135,-0.948826451944492,-0.9479949874686717,-0.9469947407963937,-0.9465547530743705,-0.9456946965113935,-0.9450051921079958,-0.943730407523511,-0.9425707547169812,-0.9413537549407115,-0.93997936548878,-0.9392198771039273,-0.9388615216201424,-0.9373054061703934,-0.9368666278392546,-0.9363312555654497,-0.935790435577216,-0.9357783967811824,-0.9348903717826501,-0.9355441081777205,-0.934763948497854,-0.9353555780249411,-0.9352074048680151,-0.9361864996520529,-0.9370921985815603,-0.9361778415202582,-0.9364506627393225,-0.9386551465063862,-0.9375143403441683,-0.9383819018404908,-0.9381860646165823,-0.9378487666801456,-0.9388911536893599,-0.9387323943661972,-0.9391012179756405,-0.9387110726643598,-0.9403275785745905,-0.939640055376096,-0.9401815575728619,-0.9418705035971223,-0.9448959365708622,-0.9443632567849687,-0.9459884635553225,-0.9506143162393162,-0.9521812262615301,-0.9540256839754327,-0.9573900462962963,-0.9606369047619048,-0.9700244498777506,-0.9744940289126336,-0.9891727818545697,-0.9999906523247745,-0.999991260261194,-0.9999914203117144,-0.9999925456793516,-0.9999874567000911
200.0,40.0,-0.798232044198895,-0.5596469104665827,-0.6165644171779141,-0.6603399081999752,-0.6664268585131894,-0.6447427293064877,-0.6070300157977884,-0.5656826092561558,-0.5317475541914445,-0.5112095933263816,-0.5026315789473685,-0.5009823182711198,-0.5020352781546811,-0.5030964467005077,-0.50347533632287,-0.505464480874317,-0.5069055374592835,-0.5047619047619047,-0.5043154761904762,-0.5042386185243328,-0.5040395713107997,-0.4971109040074557,-0.4914420416111509,-0.48218076192604176,-0.47072344543914835,-0.46074246539904284,-0.4545454545454546,-0.4457587997691863,-0.44012112036336115,-0.43798024149286496,-0.4336109750122489,-0.4319516697432455,-0.42680376437783196,-0.4243503025987896,-0.4176958525345622,-0.41168658698539173,-0.4061406917994559,-0.40063529878896165,-0.3933156714897086,-0.38807206460965005,-0.3773058773058773,-0.3683862433862434,-0.3590960451977401,-0.3551614370168258,-0.34595724907063197,-0.3280449109104222,-0.3204747774480712,-0.3092105263157895,-0.29858064516129035,-0.27524912469701057,-0.2529986052998605,-0.224290780141844,-0.19919329816940734,-0.18595170899968638,-0.1628899835796388,-0.13637961335676618,-0.12642045454545447,-0.11342086068563106,-0.1011194029850746,-0.08869093725793953,-0.07502027575020287,-0.06194690265486724,-0.05021834061135366,-0.03853127833182224,-0.01953125000000011,-0.005133470225872738,0.18006182380216385,0.26216851292380006,0.16632705043301055,-0.006685768863419206
200.0,50.0,-0.9540140966133746,-0.9335620197585072,-0.9446037327562888,-0.9485637342908438,-0.9476147426981919,-0.9447464503042596,-0.9409199606133071,-0.936865671641791,-0.9330002379252915,-0.9295067527891956,-0.9264290755116443,-0.9236612702366127,-0.9212674027844455,-0.918969298245614,-0.91692498450093,-0.9149617258176757,-0.912975912975913,-0.9109861591695502,-0.9090115163147793,-0.9069240587109125,-0.9047243166823751,-0.8983076688519591,-0.8899442453205894,-0.8787710970464135,-0.8637814827953175,-0.8442130750605327,-0.8192101740294511,-0.7876865671641791,-0.7489867956595633,-0.7027670881436687,-0.6486486486486487,-0.5886898489638216,-0.5248933143669986,-0.46082345601996255,-0.4030473135525261,-0.3545183714001986,-0.3188388484052084,-0.2980582524271844,-0.28968128747238875,-0.29227812718378765,-0.30208333333333326,-0.3168336673346692,-0.33136219640971487,-0.34537701974865354,-0.3593570608495982,-0.3700712589073635,-0.3785450061652281,-0.38436317780580076,-0.3883116883116883,-0.39030335861321774,-0.38761011651037225,-0.38141592920353984,-0.3724598119502578,-0.3648562300319489,-0.3549655850540807,-0.348314606741573,-0.3426548672566372,-0.33178902352102635,-0.32840236686390534,-0.3276923076923077,-0.3221397891448653,-0.3161764705882354,-0.3133817870884994,-0.3096085409252669,-0.30637707948244,-0.3036573628488932,-0.2797494780793319,-0.26625475285171096,-0.4386099539574654,-0.8252318204001952
200.0,60.0,-0.9387469508280909,-0.9051063829787234,-0.9064340239912759,-0.902492059613975,-0.8933719666787396,-0.8822927328556807,-0.8698257839721254,-0.8566176470588236,-0.8430122757318225,-0.8295135294987431,-0.8165004533091569,-0.8039476553980371,-0.7923612903225806,-0.7814870559903673,-0.7714236111111111,-0.7621975406584689,-0.7534203420342034,-0.7453807106598984,-0.7374572405929305,-0.7296934865900383,-0.7221270521056389,-0.7015051740357479,-0.6772591857000994,-0.6470394194293254,-0.6084749503420879,-0.561570493753718,-0.5050220972278023,-0.4401732539252843,-0.3691860465116279,-0.29391891891891897,-0.21948150012584944,-0.15022639068564037,-0.08995350717606632,-0.04293869446512766,-0.00952380952380949,0.008336227856894807,0.013110846245530494,0.006211180124223725,-0.007964161274265802,-0.02776294714361993,-0.050086355785837644,-0.07441574415744157,-0.09554551323434479,-0.11610228058051131,-0.13086074177746676,-0.14598540145985406,-0.161365399534523,-0.1698412698412699,-0.17968490878938626,-0.19070175438596482,-0.19576036866359448,-0.19874638379942144,-0.20178916336281394,-0.20272444492116282,-0.20157445393059092,-0.20583028443290452,-0.203030303030303,-0.20123839009287925,-0.20516179745840424,-0.2073871409028728,-0.20580438119157252,-0.20749962946494738,-0.2115292996665079,-0.21250626985453935,-0.21398379711165905,-0.2157845868152276,-0.227936879018118,-0.23080116230801162,-0.3038239916186486,-0.41112890312249806
200.0,70.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200.0,80.0,-0.8841521918941274,-0.8530109489051094,-0.8565485862853428,-0.851441351888668,-0.8396489971346704,-0.825172754195459,-0.808641160949868,-0.7897766323024055,-0.769653052261748,-0.7475915221579961,-0.7258831521739131,-0.7020970394736843,-0.6808458323088271,-0.6587554269175109,-0.6384770889487871,-0.6181606519208382,-0.5983621071270473,-0.5808660624370594,-0.5615428247305729,-0.5425206874602164,-0.5241256245538901,-0.476123595505618,-0.42473901432386496,-0.3690364826941066,-0.3071036106750392,-0.24698646986469863,-0.18685955394816156,-0.13222543352601157,-0.0869191049913941,-0.049524762381190635,-0.022108843537414935,-0.003215434083601254,0.0077574047954867,0.013281249999999911,0.015332197614991383,0.013723696248856276,0.009775171065493637,0.004949474118375097,0.0,-0.005100266604845305,-0.010309278350515427,-0.015376596299191969,-0.019298245614035037,-0.023387565368971575,-0.025681719809551362,-0.028415961305925164,-0.03173564534598394,-0.03323868381493256,-0.035506094329623816,-0.03780003780003782,-0.0386386386386387,-0.039643841424634285,-0.04110527517698104,-0.041534326899584695,-0.0418794688457611,-0.04387926215762994,-0.0431034482758621,-0.0433620433620433,-0.04541062801932372,-0.04640054588877529,-0.04660126138752607,-0.04769172071728356,-0.050568900126422234,-0.051607062019013106,-0.053093034583536314,-0.05450733752620551,-0.06666666666666654,-0.07515337423312896,-0.09325744308231165,-0.10860121633362296
200.0,90.0,-0.8811307784842757,-0.847918683446273,-0.8515581717451524,-0.8459516856915317,-0.8332438650306748,-0.8177683765203596,-0.8004237288135594,-0.7805147058823529,-0.759925049771636,-0.7374195435927443,-0.7156986153569502,-0.6917407327119012,-0.6707978311386522,-0.6493192133131619,-0.6293436293436294,-0.6095813204508856,-0.5899725274725275,-0.573326414115205,-0.5541107871720117,-0.5354859752120026,-0.518002915451895,-0.4710351377018044,-0.4206019084903352,-0.3662191695285669,-0.30536585365853663,-0.2469615945551774,-0.18846153846153846,-0.13504936530324396,-0.0914786967418546,-0.05509908168197197,-0.028353326063249695,-0.009864364981504337,0.0020229265003370855,0.008196721311475308,0.009724473257698651,0.009565217391304337,0.006493506493506551,0.0029325513196480912,-0.0007501071581654806,-0.004941796617614735,-0.009300162752848173,-0.013575219054671073,-0.016992461990545604,-0.020357634112792233,-0.0223951932268196,-0.0247496423462088,-0.027571251548946796,-0.028783805155780384,-0.030617366571858873,-0.03258728737690253,-0.03356722928124389,-0.03435114503816794,-0.03550552067547086,-0.03591288229842449,-0.03632840881569388,-0.037931034482758696,-0.03736023997818372,-0.03749647589512273,-0.03946160905475671,-0.04020752269779504,-0.04029304029304037,-0.0417120058034095,-0.04332129963898923,-0.044396551724138034,-0.04591836734693877,-0.047452547452547456,-0.057835820895522416,-0.06539991162174097,-0.08256107834877835,-0.09857978279030921
