Altitude_km,Inclination_deg,0.01_mmAl_rel_diff,0.1_mmAl_rel_diff,0.2_mmAl_rel_diff,0.3_mmAl_rel_diff,0.4_mmAl_rel_diff,0.5_mmAl_rel_diff,0.6_mmAl_rel_diff,0.7_mmAl_rel_diff,0.8_mmAl_rel_diff,0.9_mmAl_rel_diff,1.0_mmAl_rel_diff,1.1_mmAl_rel_diff,1.2_mmAl_rel_diff,1.3_mmAl_rel_diff,1.4_mmAl_rel_diff,1.5_mmAl_rel_diff,1.6_mmAl_rel_diff,1.7_mmAl_rel_diff,1.8_mmAl_rel_diff,1.9_mmAl_rel_diff,2.0_mmAl_rel_diff,2.25_mmAl_rel_diff,2.5_mmAl_rel_diff,2.75_mmAl_rel_diff,3.0_mmAl_rel_diff,3.25_mmAl_rel_diff,3.5_mmAl_rel_diff,3.75_mmAl_rel_diff,4.0_mmAl_rel_diff,4.25_mmAl_rel_diff,4.5_mmAl_rel_diff,4.75_mmAl_rel_diff,5.0_mmAl_rel_diff,5.25_mmAl_rel_diff,5.5_mmAl_rel_diff,5.75_mmAl_rel_diff,6.0_mmAl_rel_diff,6.25_mmAl_rel_diff,6.5_mmAl_rel_diff,6.75_mmAl_rel_diff,7.0_mmAl_rel_diff,7.25_mmAl_rel_diff,7.5_mmAl_rel_diff,7.75_mmAl_rel_diff,8.0_mmAl_rel_diff,8.25_mmAl_rel_diff,8.5_mmAl_rel_diff,8.75_mmAl_rel_diff,9.0_mmAl_rel_diff,9.5_mmAl_rel_diff,10.0_mmAl_rel_diff,10.5_mmAl_rel_diff,11.0_mmAl_rel_diff,11.5_mmAl_rel_diff,12.0_mmAl_rel_diff,12.5_mmAl_rel_diff,13.0_mmAl_rel_diff,13.5_mmAl_rel_diff,14.0_mmAl_rel_diff,14.5_mmAl_rel_diff,15.0_mmAl_rel_diff,16.0_mmAl_rel_diff,17.0_mmAl_rel_diff,18.0_mmAl_rel_diff,19.0_mmAl_rel_diff,20.0_mmAl_rel_diff,30.0_mmAl_rel_diff,40.0_mmAl_rel_diff,50.0_mmAl_rel_diff,100.0_mmAl_rel_diff
200.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200.0,10.0,-0.7171296296296297,-0.7308349514563106,-0.737585199610516,-0.7234086242299795,-0.7436985172981878,-0.7569370735405611,-0.7437711926876014,-0.7436373276776246,-0.7490036231884059,-0.7544502617801048,-0.7597619047619047,-0.7648451730418944,-0.7694489031567683,-0.7738014345035863,-0.7776234567901235,-0.7809394145677332,-0.7835978835978836,-0.7859075535512965,-0.7873744619799139,-0.788205221836772,-0.7882544861337684,-0.7847089487402259,-0.7741753821399839,-0.7587343441001977,-0.747783764992178,-0.7451207729468599,-0.7448958548154259,-0.7446529899607158,-0.7446465576790238,-0.7445467765390208,-0.7445942508267616,-0.744474034620506,-0.7444073455759599,-0.7444025522041764,-0.7444008451554482,-0.744433991846974,-0.7444372153545868,-0.7444219750589822,-0.7444560669456066,-0.7444324324324325,-0.7445146894756415,-0.7445552147239264,-0.7445454545454546,-0.7445258445258445,-0.7445606694560669,-0.7445829750644883,-0.7446160635481023,-0.7446355817111816,-0.7446867749419953,-0.744720194647202,-0.744704684317719,-0.7447102604997342,-0.7446230598669623,-0.7446047316791691,-0.7446974236069502,-0.7446239900559353,-0.7446233097231165,-0.7445702864756829,-0.7445592286501377,-0.7446339729921819,-0.7445747800586511,-0.7445914396887159,-0.744645799011532,-0.7445121951219512,-0.7446280991735537,-0.7445841392649903,-0.7445233866193014,-0.7443400256300726,-0.7442453094371324,-0.7436413277769796
200.0,20.0,-0.6932773109243697,-0.7260984647961884,-0.7143241787829833,-0.7027027027027026,-0.697521551724138,-0.696816479400749,-0.6992893100384958,-0.7030651340996168,-0.707830479932641,-0.7129896907216495,-0.7208830548926014,-0.7286979627989371,-0.7371456030754444,-0.744233726294208,-0.7504602057390363,-0.7617033276931755,-0.7664327485380117,-0.768955042527339,-0.774937343358396,-0.7803858520900322,-0.7836842105263158,-0.7882065596650384,-0.7951343500363108,-0.7980451127819549,-0.800776397515528,-0.804066985645933,-0.8081980519480519,-0.8111666666666667,-0.8120204603580563,-0.8154978354978355,-0.8206896551724138,-0.8213965980304386,-0.8228937728937729,-0.8285846438482887,-0.8291115311909263,-0.8314423076923076,-0.8328460038986355,-0.8389930898321817,-0.8431451208504663,-0.8409711684370258,-0.845747982619491,-0.8478375249921077,-0.8520021356113188,-0.8589455673190034,-0.8564313555651797,-0.8561842988145829,-0.8659689399054693,-0.8640820980615735,-0.8661362850224836,-0.8772882957363883,-0.882751984604282,-0.8892639182961763,-0.8954242501922584,-0.903182751540041,-0.9143215086377423,-0.9156878963330576,-0.9343469246717346,-0.9358024691358025,-0.9648771481323676,-0.9541405908892446,-0.9940411473194173,-0.9996517596434609,-0.9996638919428302,-0.9996745980707396,-0.999675300490943,-0.9996810224089636,-0.9997355758520828,-0.9997628068149004,-0.9998090631675313,-0.9997893728222996
200.0,30.0,-0.7334453781512604,-0.7201371689845685,-0.7091769157994323,-0.6957925636007828,-0.6857299470126073,-0.6808841843088418,-0.6789448441247002,-0.6779638312123242,-0.6782459157351677,-0.6815556014029296,-0.6837132396362348,-0.6890811377637961,-0.6920992584141472,-0.695805266380894,-0.6975036710719531,-0.702586945348638,-0.7058718224131758,-0.7067993989481594,-0.7107163771227796,-0.7112321032466223,-0.7133956386292835,-0.7142857142857142,-0.7150943396226415,-0.717885375494071,-0.7157596079442868,-0.7176061982367086,-0.7203065134099617,-0.7161052929521653,-0.7189866045428073,-0.7199762540813297,-0.7184891867194638,-0.721355617455896,-0.7188751191611058,-0.7216033483580166,-0.7237372069990096,-0.7206268958543984,-0.7187521426122729,-0.7245650661099512,-0.7229787234042553,-0.7237361061312299,-0.7276509572901325,-0.721900826446281,-0.7230592734225622,-0.7287576687116564,-0.7299338263915921,-0.7200161746866154,-0.7222992254382389,-0.7296188898094449,-0.7279714405711886,-0.7294982698961938,-0.7298804780876493,-0.7318874019381634,-0.729574773053034,-0.7329976019184652,-0.7375619425173439,-0.7288100208768267,-0.7351337178814892,-0.7362713675213675,-0.737059142702116,-0.7415968732551648,-0.7373842592592592,-0.7375,-0.7444376528117359,-0.7475801382778127,-0.7415610406937958,-0.7408049965301874,-0.7726679104477612,-0.7713675213675214,-0.848468196180794,-0.9996627164995442
200.0,40.0,-0.7628729281767956,-0.7455233291298865,-0.7487730061349693,-0.7484183103833271,-0.7419664268585132,-0.731096196868009,-0.7171406003159557,-0.702977955395127,-0.6921158641856896,-0.6874348279457769,-0.6857565789473684,-0.6891552062868369,-0.6917684305744007,-0.6953807106598985,-0.697645739910314,-0.7028536733454767,-0.7065798045602606,-0.7077030812324929,-0.7119791666666666,-0.7126373626373627,-0.7149216817807089,-0.7155638397017707,-0.7155888080352567,-0.7175734554798346,-0.7138882167916767,-0.7145259345492174,-0.7163854109961895,-0.7100403923831505,-0.7124905374716124,-0.7128743923474988,-0.7104360607545321,-0.7133747273032389,-0.7100034855350297,-0.7128871484514062,-0.7150230414746543,-0.71106051982546,-0.7087057909055577,-0.7155052610680961,-0.7132667617689016,-0.714226547939532,-0.7187902187902188,-0.7114197530864197,-0.7127683615819209,-0.7196452933151432,-0.720957249070632,-0.7083231632902123,-0.7111770524233432,-0.7201417004048583,-0.7179354838709677,-0.7196337193643954,-0.7199442119944213,-0.7218971631205674,-0.7187092770710517,-0.7230479774223895,-0.7281444991789819,-0.71701230228471,-0.7247514204545454,-0.726039387308534,-0.7267910447761194,-0.7319132455460884,-0.7263584752635848,-0.7262536873156342,-0.7341048034934498,-0.7372620126926563,-0.729296875,-0.7279774127310061,-0.757805255023184,-0.7565178471522882,-0.8364747834946511,-0.9969446036294174
200.0,50.0,-0.8864878803506963,-0.8626509330406147,-0.8596159047876657,-0.859560143626571,-0.8609179415855355,-0.8633874239350913,-0.8667182444788296,-0.8706716417910447,-0.8749940518677135,-0.8793305930710511,-0.8834862385321101,-0.8872976338729763,-0.8908305328852616,-0.893859649122807,-0.896652200867948,-0.8991649269311065,-0.9013986013986014,-0.9034602076124567,-0.905383877159309,-0.907168687513295,-0.9088477851083883,-0.9125323982314377,-0.9154520111509359,-0.9175105485232068,-0.9185526782547002,-0.918498789346247,-0.9172021419009371,-0.9144776119402985,-0.9102366322395085,-0.9043980208905993,-0.8964813870474247,-0.8872146118721461,-0.8759127548601233,-0.863069245165315,-0.8508420208500401,-0.8377358490566038,-0.8260661808625015,-0.8153952843273231,-0.8076680340801514,-0.8013626834381551,-0.796780303030303,-0.7927855711422845,-0.7907074973600845,-0.7910233393177738,-0.7891618828932261,-0.7891448931116389,-0.7900369913686807,-0.789936948297604,-0.7908051948051948,-0.7915763813651138,-0.7935493037794827,-0.7947197640117994,-0.7952380952380952,-0.7980830670926518,-0.798656178302196,-0.8008512087163773,-0.8030796460176991,-0.8022451888809693,-0.8046227810650888,-0.8072692307692307,-0.8076532604451386,-0.8099673202614379,-0.8127832407011544,-0.8145462633451958,-0.8182532347504621,-0.816410009624639,-0.8812804453723034,-0.9262072243346008,-0.91992983994738,-0.8201561737432894
200.0,60.0,-0.826678649377327,-0.770127659574468,-0.7585293659448512,-0.7515269973124847,-0.7453458891705904,-0.7401740020470828,-0.7366550522648083,-0.7353860294117647,-0.7360717658168083,-0.7388732810882744,-0.7430643699002719,-0.7480916030534351,-0.7538064516129033,-0.7596026490066226,-0.7653819444444444,-0.7710829036096787,-0.7764626462646265,-0.7818274111675128,-0.7867730900798175,-0.7914431673052362,-0.79593147751606,-0.8052681091251176,-0.8116931479642502,-0.8144482929242949,-0.8123151622158464,-0.8058893515764426,-0.7934511852149457,-0.7746074715755279,-0.7505813953488372,-0.7194980694980695,-0.6816008054366978,-0.6411707632600259,-0.5947038609258136,-0.5510052122114668,-0.5068452380952382,-0.46474470302188253,-0.4270957489074295,-0.3939662821650399,-0.372822299651568,-0.3465029364655633,-0.330454807138745,-0.3204182041820418,-0.3092317624273725,-0.30545957152729786,-0.2939118264520644,-0.29109489051094883,-0.2943366951124904,-0.2906349206349207,-0.29253731343283584,-0.2922807017543859,-0.2912442396313364,-0.29238187078109934,-0.29785503710480843,-0.3000107261611069,-0.30169641867169306,-0.310279712026437,-0.30799999999999994,-0.3104643962848297,-0.3180924931219704,-0.32147742818057445,-0.3223105902051068,-0.32814584259670965,-0.33682706050500244,-0.34141447918408296,-0.34712927087002465,-0.3507892293407614,-0.40765634132086503,-0.44333748443337484,-0.47778941854374024,-0.41953562850280235
200.0,70.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200.0,80.0,-0.7900744416873449,-0.7493613138686132,-0.7439064023399415,-0.7378230616302187,-0.7300143266475645,-0.7215202369200395,-0.7131266490765171,-0.7047250859106529,-0.6970794905577514,-0.6892375447288742,-0.6829144021739131,-0.6749588815789473,-0.6692894025079912,-0.6625180897250362,-0.6566711590296497,-0.6502522312766783,-0.6434262948207171,-0.638368580060423,-0.6306863301191151,-0.6227880330999364,-0.6153461812990721,-0.5928838951310862,-0.5650643360038845,-0.5311817898347365,-0.4866562009419152,-0.44206642066420665,-0.3911995177817963,-0.33887283236994215,-0.29259896729776247,-0.24762381190595295,-0.20691609977324266,-0.17491961414791002,-0.14527503526093088,-0.12421875000000004,-0.10647359454855199,-0.09213174748398911,-0.08142717497556207,-0.07290162920189724,-0.06893434286360045,-0.06224643560913412,-0.05927835051546382,-0.05772739119103465,-0.055330634278002666,-0.0552004648460197,-0.052373394892512026,-0.05214631197097941,-0.05381972844757077,-0.053115082679138226,-0.054230701289524896,-0.05481005481005485,-0.05485485485485486,-0.05575577697689216,-0.05800411052751764,-0.05912533593940872,-0.06001021450459654,-0.06344326439351589,-0.06293103448275861,-0.0644490644490644,-0.06763285024154586,-0.06925963834868654,-0.07007708479327257,-0.07287294925600929,-0.07753898019384742,-0.08012675418741522,-0.08280565026790065,-0.08647798742138368,-0.11432748538011683,-0.13236196319018412,-0.13922942206654987,-0.11468288444830588
200.0,90.0,-0.7872486681560406,-0.7433688286544047,-0.7375346260387812,-0.7308202813910274,-0.7216257668711656,-0.7121099947117927,-0.7028248587570621,-0.6932904411764707,-0.684974821407659,-0.6765652428320655,-0.6696637295450458,-0.661174940385866,-0.6553059643687065,-0.6481089258698941,-0.641979641979642,-0.635305958132045,-0.6278388278388278,-0.6227815256875973,-0.614402332361516,-0.6060665362035225,-0.5985422740524782,-0.5748338081671416,-0.5458771715194519,-0.5109272556977833,-0.46556097560975607,-0.42051531356344185,-0.3698224852071006,-0.3184062059238364,-0.27318295739348375,-0.23006283228612856,-0.19083969465648853,-0.16029593094944516,-0.13216453135536077,-0.11326378539493298,-0.0972447325769854,-0.08260869565217388,-0.07346938775510203,-0.0656891495601174,-0.061508786969567186,-0.05556775752251264,-0.05277842362241347,-0.05146242132543499,-0.049316468634214905,-0.049243466299862426,-0.0467021712412945,-0.046494992846924155,-0.04801734820322179,-0.04728767989878224,-0.04818470804751562,-0.04870188003581033,-0.049118149061255445,-0.04981920449979915,-0.05174280147218013,-0.05282669138090823,-0.05376604504722693,-0.05676392572944289,-0.056449413689664496,-0.05779531998872289,-0.06056898133985911,-0.06193255512321649,-0.0626040626040626,-0.06565107000362702,-0.06899318090653839,-0.07155172413793098,-0.07467532467532467,-0.07792207792207795,-0.10326492537313436,-0.11960524377669757,-0.12594776748104464,-0.1035923141186299
